conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:478_conv:956,2,afraid,when i was going for an interview i was so afraid as i could not tell the end results,63,Yea I know how you feel_comma_ you just feel like you are in purgatory waiting for your demise.,3|4|5_4|4|3,
hit:478_conv:956,3,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,actually i woke up early in the morning and prepared my self fully for the task ahead of me,3|4|5_4|4|3,
hit:478_conv:956,4,afraid,when i was going for an interview i was so afraid as i could not tell the end results,63,Yea but i mean afterwards you dont know if you passed the interview,3|4|5_4|4|3,
hit:478_conv:956,5,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,i just received a call that i did good in my interview and i qualified to work with them. this made me so happy,3|4|5_4|4|3,
hit:655_conv:1311,1,afraid,I was terrified last njght,25,I was gripped by a fear factor _comma_the night thing ,4|4|3_4|4|4,
hit:655_conv:1311,2,afraid,I was terrified last njght,183,Wow_comma_ that means you can't sleep with the light off,4|4|3_4|4|4,
hit:655_conv:1311,3,afraid,I was terrified last njght,25,Not really_comma_! Its not like its scary _comma_but more light a child hood phobia. .Lol!,4|4|3_4|4|4,
hit:655_conv:1311,4,afraid,I was terrified last njght,183,Wow_comma_ fear is a bad experience,4|4|3_4|4|4,
hit:700_conv:1400,1,afraid,The other day I was walking in the bushes alone and I was scared when I heard noise behind some bushes.,203,The other day I went walking in the woods alone when I heard some noise behind some bushes.,4|5|5_4|5|5,
hit:700_conv:1400,2,afraid,The other day I was walking in the bushes alone and I was scared when I heard noise behind some bushes.,208,Oh no sounds scary.  What happened next?,4|5|5_4|5|5,
hit:700_conv:1400,3,afraid,The other day I was walking in the bushes alone and I was scared when I heard noise behind some bushes.,203,Yes I was really scared_comma_ but it turnes out it was just some squirrels.,4|5|5_4|5|5,
hit:700_conv:1400,4,afraid,The other day I was walking in the bushes alone and I was scared when I heard noise behind some bushes.,208,That goodness for that! There is nothing worse than hearing noises like that when you are alone walking.,4|5|5_4|5|5,
hit:773_conv:1546,1,afraid,When I was a child I was in a tornado.,226,There was very little warning. It was the middle of the night.,5|5|5_5|5|5,
hit:773_conv:1546,2,afraid,When I was a child I was in a tornado.,7,It was a fire warning?,5|5|5_5|5|5,
hit:773_conv:1546,3,afraid,When I was a child I was in a tornado.,226,Tornado.,5|5|5_5|5|5,<UNIGRAM>
hit:773_conv:1546,4,afraid,When I was a child I was in a tornado.,7,Wow_comma_ what is it a big one?,5|5|5_5|5|5,
hit:773_conv:1546,5,afraid,When I was a child I was in a tornado.,226,It was an F-4 and at the time the worse one to ever hit during that time frame.,5|5|5_5|5|5,
hit:913_conv:1826,1,afraid,I was deep in sleep last night and I heard this loud bang on the side of my house and woke right up wondering what was going on.,100,I was deep in sleep last night and I woke up to this super loud bang near my house_comma_ it was quite scary.,5|5|5_4|5|5,
hit:913_conv:1826,2,afraid,I was deep in sleep last night and I heard this loud bang on the side of my house and woke right up wondering what was going on.,249,That sounds definitely terrifying! Did you figure out what it was?,5|5|5_4|5|5,
hit:913_conv:1826,3,afraid,I was deep in sleep last night and I heard this loud bang on the side of my house and woke right up wondering what was going on.,100,I think it was someone shooting firecrackers for some strange reason.,5|5|5_4|5|5,
hit:913_conv:1826,4,afraid,I was deep in sleep last night and I heard this loud bang on the side of my house and woke right up wondering what was going on.,249,Hmm.. I guess it is still July so it makes SOME sense at least! Did you ever confront them?,5|5|5_4|5|5,
hit:982_conv:1965,1,afraid,I was driving through flood waters and my car stalled out.,226,I was driving through flood waters and my car stalled out.,5|4|5_4|4|5,
hit:982_conv:1965,2,afraid,I was driving through flood waters and my car stalled out.,273,Holy cow. I hate when that happens. It happens a lot here since I live near the ocean. How did it end up?,5|4|5_4|4|5,
hit:982_conv:1965,3,afraid,I was driving through flood waters and my car stalled out.,226,I was sitting in water nearly up to the windows and someone in a big truck came and pulled me out.,5|4|5_4|4|5,
hit:982_conv:1965,4,afraid,I was driving through flood waters and my car stalled out.,273,Wow_comma_ how lucky. How did you end up thanking that person?,5|4|5_4|4|5,
hit:1022_conv:2045,1,afraid,I am afraid of who will move in next door to me.,27,I am sfraid of who will move in next door to me.,4|4|4_5|5|5,
hit:1022_conv:2045,2,afraid,I am afraid of who will move in next door to me.,10,Was your previous neighbor good at least?,4|4|4_5|5|5,
hit:1022_conv:2045,3,afraid,I am afraid of who will move in next door to me.,27,no. I never have decent neighbors so I'm expecting the worst.,4|4|4_5|5|5,
hit:1022_conv:2045,4,afraid,I am afraid of who will move in next door to me.,10,Ah_comma_ well at least you can only meet or exceed expectations!,4|4|4_5|5|5,
hit:1022_conv:2045,5,afraid,I am afraid of who will move in next door to me.,27,Yeah I guess. I should just move.,4|4|4_5|5|5,
hit:1036_conv:2073,1,afraid,scared that my daughter will grow up and be bad ,11,I know its probably too soon to tell but I am afraid my daughter is going to be a difficult teenager! ,5|5|5_5|5|5,
hit:1036_conv:2073,2,afraid,scared that my daughter will grow up and be bad ,273,Hah... I have a teenage sister. I can agree. But they can have their good moments. I hope for the best for you.,5|5|5_5|5|5,
hit:1036_conv:2073,3,afraid,scared that my daughter will grow up and be bad ,11,Thanks! Thats nice of you. ,5|5|5_5|5|5,
hit:1036_conv:2073,4,afraid,scared that my daughter will grow up and be bad ,273,With the way you sound_comma_ I'm sure you'll have the patience and the wisdom to raise her the right way through the teenage years anyway.,5|5|5_5|5|5,
hit:1235_conv:2471,1,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,296,I am not in the best city and walking around the other night for a nice walk- someone kept following me.,1|5|5_4|4|4,
hit:1235_conv:2471,2,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,75,What city are in right now?,1|5|5_4|4|4,
hit:1235_conv:2471,3,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,296,In a city in michigan. One of the top dangerous cities in the USA,1|5|5_4|4|4,
hit:1235_conv:2471,4,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,75,Oh well_comma_ be carreful.Make sure nobody is following you.,1|5|5_4|4|4,
hit:1235_conv:2471,5,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,296,Can't always be helped. That is why I don't walk at night a lot- or heck even during the day,1|5|5_4|4|4,
hit:1282_conv:2565,1,afraid,There was some weird bumping noises in my house last night.,220,I couldn't sleep last night at all_comma_ I kept hearing some weird bumping sounds that made me think someone was walking up and down my stairs but I live alone.,5|5|5_5|5|5,
hit:1282_conv:2565,2,afraid,There was some weird bumping noises in my house last night.,278,Thats so scary_comma_ do you believe in ghosts?,5|5|5_5|5|5,
hit:1282_conv:2565,3,afraid,There was some weird bumping noises in my house last night.,220,I do and that's the first thing I thought it could be.,5|5|5_5|5|5,
hit:1282_conv:2565,4,afraid,There was some weird bumping noises in my house last night.,278,Hope it's a friendly one at least.,5|5|5_5|5|5,
hit:1372_conv:2744,1,afraid,I was afraid when my dad used to scare me and  my brothers,10,I was afraid when my dad used to scare me and my brothers,5|5|5_4|4|4,
hit:1372_conv:2744,2,afraid,I was afraid when my dad used to scare me and  my brothers,273,Was he just playing tricks on you_comma_ to get you to laugh? Or was he being malicious about it? ,5|5|5_4|4|4,
hit:1372_conv:2744,3,afraid,I was afraid when my dad used to scare me and  my brothers,10,No he was just playing tricks I suppose_comma_ but still,5|5|5_4|4|4,
hit:1372_conv:2744,4,afraid,I was afraid when my dad used to scare me and  my brothers,273,Yeah_comma_ sometimes dads forget how young kids are and just do what they think is funny. My dad wasn't the best either at understanding how fragile kids can be. But he was still a good da,5|5|5_4|4|4,
hit:1407_conv:2815,1,afraid,My friend's eyes keep hurting at night. She's been to the doctor_comma_ but they can't find anything wrong with her.,1,My friend's eyes keep hurting at night. She's been to the doctor_comma_ but they can't find anything wrong with her,5|5|5_5|5|5,
hit:1407_conv:2815,2,afraid,My friend's eyes keep hurting at night. She's been to the doctor_comma_ but they can't find anything wrong with her.,11,The weirdest thing... it sucks when you dont know whats causing it. Has she been to an eye doctor or just a general dr? ,5|5|5_5|5|5,
hit:1407_conv:2815,3,afraid,My friend's eyes keep hurting at night. She's been to the doctor_comma_ but they can't find anything wrong with her.,1,She's just been to her doctor. I'll see if she can see a specialist.,5|5|5_5|5|5,
hit:1407_conv:2815,4,afraid,My friend's eyes keep hurting at night. She's been to the doctor_comma_ but they can't find anything wrong with her.,11,sounds like a good idea i hope her pain goes away asap! ,5|5|5_5|5|5,
hit:1530_conv:3060,1,afraid,I am so scared.  I just heard a really crazy sounding animal coming from my lake out back of my house.,160,I am so scared. I just heard a really crazy sounding animal coming from my lake out back of my house.,5|5|5_6|5|5,
hit:1530_conv:3060,2,afraid,I am so scared.  I just heard a really crazy sounding animal coming from my lake out back of my house.,68,Oh snap! dude get your camera you might have found nessy.,5|5|5_6|5|5,
hit:1530_conv:3060,3,afraid,I am so scared.  I just heard a really crazy sounding animal coming from my lake out back of my house.,160,Im in Florida.. it could be ANYTHING lol.,5|5|5_6|5|5,
hit:1530_conv:3060,4,afraid,I am so scared.  I just heard a really crazy sounding animal coming from my lake out back of my house.,68,Probably could be a new species of gator.,5|5|5_6|5|5,
hit:1537_conv:3074,1,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,228,My son came home on his 19th birthday and was really drunk.,5|5|5_5|5|5,
hit:1537_conv:3074,2,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,244,As someone who was once a 19 year old man_comma_ don't be too shocked.,5|5|5_5|5|5,
hit:1537_conv:3074,3,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,228,It was really bad though. He kept trying to take off down the road walking. I was afraid he was going to go to jail.,5|5|5_5|5|5,
hit:1537_conv:3074,4,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,244,Yikes he's one of the zombie drunks.   That's unfortunate.  Drinking might not be for him.,5|5|5_5|5|5,
hit:1537_conv:3074,5,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,228,I hope he learned his lesson. He doesn't remember anything from the night.,5|5|5_5|5|5,
hit:1537_conv:3074,6,afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.,244,Most do. I know a guy that kind of gets blackout drunk like that.  His brother does too.  Now neither of them drink hard liquor (well they haven't for ages now),5|5|5_5|5|5,
hit:1589_conv:3178,1,afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,274,I just finished watching a series on netflix and now I am afraid to go outside alone in the dark.,5|5|5_5|5|5,
hit:1589_conv:3178,2,afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,321,what show was it ?,5|5|5_5|5|5,
hit:1589_conv:3178,3,afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,274,documentary on serial killers,5|5|5_5|5|5,
hit:1589_conv:3178,4,afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,321,i loved the ed gein documentary ,5|5|5_5|5|5,
hit:1642_conv:3285,1,afraid,When I was a child I was in a destructive tornado. ,226,When I was a child I was in a destructive tornado.,4|4|4_5|5|5,
hit:1642_conv:3285,2,afraid,When I was a child I was in a destructive tornado. ,209,Oh my goodness! Did you get hurt?,4|4|4_5|5|5,
hit:1642_conv:3285,3,afraid,When I was a child I was in a destructive tornado. ,226,No luckily my family was safe. Two girls down the street got killed. ,4|4|4_5|5|5,
hit:1642_conv:3285,4,afraid,When I was a child I was in a destructive tornado. ,209,That's so sad. Did your house get damaged?,4|4|4_5|5|5,
hit:1734_conv:3469,1,afraid,I was really scared when I walked to my car after the movie,267,I was really scared when I walked to my car after the movie,5|5|5_5|5|5,
hit:1734_conv:3469,2,afraid,I was really scared when I walked to my car after the movie,226,Because of the movie or where you were parked?,5|5|5_5|5|5,
hit:1734_conv:3469,3,afraid,I was really scared when I walked to my car after the movie,267,It was after a horror movie,5|5|5_5|5|5,
hit:1734_conv:3469,4,afraid,I was really scared when I walked to my car after the movie,226,It must have been really good to keep you scared afterwards.,5|5|5_5|5|5,
hit:1915_conv:3831,1,afraid,I used to be terrified of approaching attractive women_comma_ let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend_comma_ instead of a prize to be won / objectified.,119,Back then I was a big chicken and couldn't approach women_comma_ let alone get numbers.  But I discovered that the easiest way to overcome that irrational fear is to level with them like a friend_comma_ instead of seeing them as a prize to be won / objectified.,5|5|5_5|5|5,
hit:1915_conv:3831,2,afraid,I used to be terrified of approaching attractive women_comma_ let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend_comma_ instead of a prize to be won / objectified.,99,That is a good approach! Has it been successful?,5|5|5_5|5|5,
hit:1915_conv:3831,3,afraid,I used to be terrified of approaching attractive women_comma_ let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend_comma_ instead of a prize to be won / objectified.,119,Very,5|5|5_5|5|5,<UNIGRAM>
hit:1915_conv:3831,4,afraid,I used to be terrified of approaching attractive women_comma_ let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend_comma_ instead of a prize to be won / objectified.,99,That is great to hear! I am happy for you!,5|5|5_5|5|5,
hit:2052_conv:4104,1,afraid,My fiance found a snake in our yard the other day! It was terrifying!,227,My fiance found a snake in our yard the other day! It was terrifying!,5|5|5_5|5|5,
hit:2052_conv:4104,2,afraid,My fiance found a snake in our yard the other day! It was terrifying!,254,Wow_comma_ that is scary. Did you guys do anything or just stay away from it?,5|5|5_5|5|5,
hit:2052_conv:4104,3,afraid,My fiance found a snake in our yard the other day! It was terrifying!,227,No he killed it. Somehow_comma_ I totally went inside and did not watch. We had to because we have two dogs that play in the yard.,5|5|5_5|5|5,
hit:2052_conv:4104,4,afraid,My fiance found a snake in our yard the other day! It was terrifying!,254,Yes_comma_ I'd be very concerned about pets_comma_ too.  I'm glad your fiance got it before it caused anyone anymore trouble.,5|5|5_5|5|5,
hit:2068_conv:4137,1,afraid,I overdrafted my bank account.,220,I accidentally overdrafted my bank account and now don't have enough money to pay the fee or my bills. I'm scared of what could happen,5|5|5_5|5|5,
hit:2068_conv:4137,2,afraid,I overdrafted my bank account.,209,I have been there_comma_ my friend. But_comma_ the good news is_comma_ if you aren't typically late for your bills_comma_ the utilities companies will often cut you a break.,5|5|5_5|5|5,
hit:2068_conv:4137,3,afraid,I overdrafted my bank account.,220,Are you sure? I guess I will need to make some phone calls.,5|5|5_5|5|5,
hit:2068_conv:4137,4,afraid,I overdrafted my bank account.,209,I am positive! I have been late before for the very same reason. Don't even need to make phone calls - they just give you a small late fee and that's it. I wouldn't go making it a habit_comma_ though.,5|5|5_5|5|5,
hit:2527_conv:5054,1,afraid,I watched a horror movie last night.  I was so scared_comma_ I nearly cried.,322,I watched a horror movie last night.,3|2|3_4|5|5,
hit:2527_conv:5054,2,afraid,I watched a horror movie last night.  I was so scared_comma_ I nearly cried.,75,Wich one?? My favorite was the shining ,3|2|3_4|5|5,
hit:2527_conv:5054,3,afraid,I watched a horror movie last night.  I was so scared_comma_ I nearly cried.,322,I nearly cried_comma_ I was so scared. It was The Ring.,3|2|3_4|5|5,
hit:2527_conv:5054,4,afraid,I watched a horror movie last night.  I was so scared_comma_ I nearly cried.,75,Yes_comma_ that one is very scary,3|2|3_4|5|5,
hit:2748_conv:5497,1,afraid,Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,274,I finished season 2 of Luther on Netflix last night.,5|5|5_5|5|5,
hit:2748_conv:5497,2,afraid,Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,220,Oh_comma_ how did you like it?,5|5|5_5|5|5,
hit:2748_conv:5497,3,afraid,Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,274,Loved it.  Each episode gives me nightmares.  Great show!,5|5|5_5|5|5,
hit:2748_conv:5497,4,afraid,Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,220,"I'll have to check it out_comma_ thanks for the rec! I've been meaning to add more things to my ""must watch"" list.",5|5|5_5|5|5,
hit:2759_conv:5518,1,afraid,when i heard someone fighting out of my apartment at night ,11,The other night I got woke up from a noise I heard outside. I was so scared. ,5|5|5_4|5|5,
hit:2759_conv:5518,2,afraid,when i heard someone fighting out of my apartment at night ,416,oh damn.. what was it?,5|5|5_4|5|5,
hit:2759_conv:5518,3,afraid,when i heard someone fighting out of my apartment at night ,11,It was some guys fighting_comma_ but women were screaming and my god it was intense. ,5|5|5_4|5|5,
hit:2759_conv:5518,4,afraid,when i heard someone fighting out of my apartment at night ,416,i hope the cops took care of it,5|5|5_4|5|5,
hit:2934_conv:5869,1,afraid,When my house burned down in the 8th grade,375,It really hurts to think about it happening_comma_ my house burning.,4|5|5_5|5|5,
hit:2934_conv:5869,2,afraid,When my house burned down in the 8th grade,269,I can't imagine my house on fire. That's I got home insurance!,4|5|5_5|5|5,
hit:2934_conv:5869,3,afraid,When my house burned down in the 8th grade,375,I was too young to know about that_comma_ we're done for.,4|5|5_5|5|5,
hit:2934_conv:5869,4,afraid,When my house burned down in the 8th grade,269,I hope you didn't lose too much.,4|5|5_5|5|5,
hit:2934_conv:5869,5,afraid,When my house burned down in the 8th grade,375,I hope so too_comma_ my math teacher has no pity on me either_comma_ had to write my test.,4|5|5_5|5|5,
hit:3001_conv:6002,1,afraid,I have a secret.  I hate being in the dark.  It terrifies me,160,I have a secret..,5|5|5_5|5|5,
hit:3001_conv:6002,2,afraid,I have a secret.  I hate being in the dark.  It terrifies me,262,Are you going to tell me?,5|5|5_5|5|5,
hit:3001_conv:6002,3,afraid,I have a secret.  I hate being in the dark.  It terrifies me,160,I hate being in the dark. It terrifies me,5|5|5_5|5|5,
hit:3001_conv:6002,4,afraid,I have a secret.  I hate being in the dark.  It terrifies me,262,You're not the only one. I am afraid of complete silence. I think I'm about to be murdered.,5|5|5_5|5|5,
hit:3044_conv:6089,1,afraid,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,7,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,3|3|3_1|1|1,
hit:3044_conv:6089,2,afraid,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,321,im sorry to hear that_comma_ i was born with a lot of anxiety so i can somewhat relate,3|3|3_1|1|1,
hit:3044_conv:6089,3,afraid,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,7,Thanks. I am trying to work on this issue and be able more easily speak in public.,3|3|3_1|1|1,
hit:3044_conv:6089,4,afraid,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,321,I honestly started taking cbd oil by charlottes web_comma_ and my anxiety went away after a few days of using it ,3|3|3_1|1|1,
hit:3192_conv:6384,1,afraid,I was pretty terrified when a tornado watch was issued. I was real worried,126,I was real scared when a tornado watch was issued. It just worried me,4|5|4_5|5|5,
hit:3192_conv:6384,2,afraid,I was pretty terrified when a tornado watch was issued. I was real worried,1,Tornados are terrifing. Are you ok?,4|5|4_5|5|5,
hit:3192_conv:6384,3,afraid,I was pretty terrified when a tornado watch was issued. I was real worried,126,Yeah_comma_ nothing got close to us.,4|5|4_5|5|5,
hit:3192_conv:6384,4,afraid,I was pretty terrified when a tornado watch was issued. I was real worried,1,That's good to hear. Glad you're ok.,4|5|4_5|5|5,
hit:3227_conv:6454,1,afraid,My sister has been begging me to go to a new haunted museum with her. I am not really into that kind of stuff. It really freaks me out and will give me bad dreams.,243,My sister has been begging me to go to a new haunted museum with her.,5|5|5_3|3|3,
hit:3227_conv:6454,2,afraid,My sister has been begging me to go to a new haunted museum with her. I am not really into that kind of stuff. It really freaks me out and will give me bad dreams.,273,"Ah! That's kind of a scary thought_comma_ but I bet that would also be kind of fun. I live in a city with a very extensive history that is utilized a lot in ""haunted"" trips and stuff like that_comma_ so I have seen them around and have wondered about going on one. Do you believe in ghosts?",5|5|5_3|3|3,
hit:3227_conv:6454,3,afraid,My sister has been begging me to go to a new haunted museum with her. I am not really into that kind of stuff. It really freaks me out and will give me bad dreams.,243,They scare me enough that I guess I do believe. I don't want to go because I fell like I will get freaked out and have bad dreams.,5|5|5_3|3|3,
hit:3227_conv:6454,4,afraid,My sister has been begging me to go to a new haunted museum with her. I am not really into that kind of stuff. It really freaks me out and will give me bad dreams.,273,Yeah_comma_ I can totally understand that. It can be exhilarating and a different experience_comma_ I would imagine. But I would understand that you wouldn't want to have to deal with the after effects. I never have trouble with nightmares_comma_ so I don't worry about that. As for me_comma_ I'm still on the fence about ghosts.,5|5|5_3|3|3,
hit:3315_conv:6631,1,afraid,I am worried my cancer may return.,4,I am worried my cancer may return.,5|5|5_5|5|5,
hit:3315_conv:6631,2,afraid,I am worried my cancer may return.,55,Oh damn_comma_ you had cancer before?,5|5|5_5|5|5,
hit:3315_conv:6631,3,afraid,I am worried my cancer may return.,4,Yes_comma_ worst time of my life.,5|5|5_5|5|5,
hit:3315_conv:6631,4,afraid,I am worried my cancer may return.,55,I'm sure it was_comma_ hopefully it's gone for good.,5|5|5_5|5|5,
hit:3672_conv:7344,1,afraid,Sooo scary!  I was in the basement today and I swear to you I saw a ghost.,160,Sooo scary! I was in the basement today and I swear to you I saw a ghost,5|5|5_4|5|4,
hit:3672_conv:7344,2,afraid,Sooo scary!  I was in the basement today and I swear to you I saw a ghost.,346,Ghost are not scary_comma_ they are us without our physical bodies. ,5|5|5_4|5|4,
hit:3672_conv:7344,3,afraid,Sooo scary!  I was in the basement today and I swear to you I saw a ghost.,160,I know but I wasn't expecting it.. and it looked like my mom.,5|5|5_4|5|4,
hit:3672_conv:7344,4,afraid,Sooo scary!  I was in the basement today and I swear to you I saw a ghost.,346,You should have talked to your mom.,5|5|5_4|5|4,
hit:3672_conv:7344,5,afraid,Sooo scary!  I was in the basement today and I swear to you I saw a ghost.,160,I was afraid she would start yelling at me LOL,5|5|5_4|5|4,
hit:4131_conv:8263,1,afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,262,I need an extension on my rent this month.,5|5|5_5|5|5,
hit:4131_conv:8263,2,afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,4,How many days are you looking for the extension?,5|5|5_5|5|5,
hit:4131_conv:8263,3,afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,262,Just 5. She isn't very nice so I afraid to even ask. I think Im just gonna pay it when I have it.,5|5|5_5|5|5,
hit:4131_conv:8263,4,afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,4,You should talk to her at least.,5|5|5_5|5|5,
hit:4131_conv:8263,5,afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,262,I know but I am so nervous,5|5|5_5|5|5,
hit:4136_conv:8273,1,afraid,I have to have an important medical test.,220,I have to get an important medical test done and the results could be not so good.,5|5|5_5|5|5,
hit:4136_conv:8273,2,afraid,I have to have an important medical test.,43,what medical test and why do you think the result couldn't be good?,5|5|5_5|5|5,
hit:4136_conv:8273,3,afraid,I have to have an important medical test.,220,It's a test for cancer and well_comma_ it could be terminal.,5|5|5_5|5|5,
hit:4136_conv:8273,4,afraid,I have to have an important medical test.,43,Oh_comma_ sorry to hear that. Hope you'll get well soon.,5|5|5_5|5|5,
hit:4136_conv:8273,5,afraid,I have to have an important medical test.,220,I hope so too_comma_ thank you.,5|5|5_5|5|5,
hit:4172_conv:8345,1,afraid,"I am afraid of growing up_comma_ I am just now an ""adult"" but not ready to fend for myself yet",10,"I am afraid of growing up_comma_ I am just now an ""adult"" but not ready to fend for myself yet",5|5|5_5|5|5,
hit:4172_conv:8345,2,afraid,"I am afraid of growing up_comma_ I am just now an ""adult"" but not ready to fend for myself yet",244,How old are you?,5|5|5_5|5|5,
hit:4172_conv:8345,3,afraid,"I am afraid of growing up_comma_ I am just now an ""adult"" but not ready to fend for myself yet",10,I am 21_comma_ so still young,5|5|5_5|5|5,
hit:4172_conv:8345,4,afraid,"I am afraid of growing up_comma_ I am just now an ""adult"" but not ready to fend for myself yet",244,Do you have a job?,5|5|5_5|5|5,
