context,prompt,utterance,response
afraid,I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,I am old and in good health_comma_ but death is around the corner.,"No problem, the doctor will be right with you."
afraid,I am very scared of the ocean.,I hate the ocean. I am very scared.,That’s OK.
afraid,I was scared when I was on a vacation to Mexico_comma_ after hearing about the crime there.,I took a vacation to Mexico_comma_ but was scared to go anywhere because of the crime in the area.,"I understand, but you must get out of your comfort zone and travel."
afraid,Our home was broken in to 2 months after we purchased it.,Have you ever been a victim of a home break in?,
afraid,Our youngest daughter fell down our back stairs and hit her head on the bottom step.  She started throwing up about an hour later and we went to the ER.,Our youngest daughter fell down our back stairs when she was about 4 and hit her head.,"How long was she unconscious?
Patient: I don"
afraid,I had to investigate a noise coming from my  backyard at night.,Turns out it was a deer who got stuck in the bushes.,You were on your way to get an oil change? You know that’s not a
afraid,One time I was robbed at gun point.,Once I was robbed at gun point and locked in a walk in refrigerator for an hour.,"Oh wow, that must have been scary."
afraid,One time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. I got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.,Me and some friends went to the movies one time and one of them started to panic in the theater. It really scared me until I realized why.,"Did you tell her?
Patient: No, I didn't want to embarrass her."
afraid,One time i got stuck in a storm and was scared i might get swept away,i almost got swept away in a storm last year_comma_ was scary stuff,"what happened?
Patient: i was in my car_comma_ a tree limb hit my car and i got out to see if i was ok_comma_ when the storm hit me_comma_ i had to run for my life_comma_"
afraid,I was alwals terrified about the unknown,Some stories terrifies me,You can take one step at
afraid,I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house_comma_,I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house.,I think you have a good imagination.
afraid,One night_comma_ I was just done reading some really scary stories and my door suddenly opened on its own. Upon closer inspection it was my cat opening it since it wasn't completely closed.,One night I just got done reading some really scary stories and what made it worse is that my door opened seemingly on its own not long after!,"What was the scary story about?
Patient: I don’t know, but I got up and went into my room to check on my mom and the door was wide open."
afraid,once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .,hi,"hi, how can i help you?
Patient: I have a bad headache, my neck hurts, and I have nausea."
afraid,i get this situation in midnight,i get the horror situation in midnight,you are not allowed to go to the hospital because you are not sick.
afraid,Some movies can be terrifying,Movies about vampires terrifies me a lot,"Okay, you should not be afraid of them because they are"
afraid,I felt scared when I had to go to the doctor to have a lump checked out on my side. I thought it was going to be for the worse.,I was scared when I had to go to the doctor for a lump on my side. I was really expecting the worst.,I was very impressed with the doctor.
afraid,I had a dear friend end up the hospital after getting into a bicycling accident. It was a scary time.,My friend ended up in the hospital after an accident a few weeks ago_comma_ there was a period of time they didn't know if he'd make it.,Okay.
afraid,While working at a restaurant I was robbed,While working at a restaurant I was robbed,I’m not sure what to say
afraid,I have been watch thing new stephen king series on hulu. It is frighteneing.,There is a new Stephen King series on hulu,"I’m not a fan of Stephen King
Patient: I like it."
afraid,I went to the circus once_comma_ and the clowns were there. I am terrified of clowns.,I am terrified of clowns. I shouldn't of gone to the circus.,You're not the only one.
afraid,I do not like the dark.,I do not like the dark._comma_,I do not like the dark.
afraid,I went to a haunted house.,I went with my sister and cousins. The experience was frightening but exciting at the sametime.,That is ok.
afraid,Earlier a guy cut me off on the road_comma_ he was driving a box truck and I saw my life flash before my eyes.,You won't believe this_comma_ a guy in a box truck cut me off earlier and ran me off the road!,I'll bet you were shaken up.
afraid,I was home alone and someone was in the carport looking in a window,I was home alone and someone was in the carport looking in a window,"I'm a medical assistant at a clinic
Patient: I was home alone and someone was in the"
afraid,I saw a shark in the water last week.,I saw a shark in the water last week.,Great white? What are you
afraid,I saw a spider and i got scared.,I saw a spider and i got scared,Because i am a medical assistant and
afraid,One time when i was younger i saw a spooky face in my room. i never knew what it was after that night i am still kind of scared even today.,So when i was a kid i had this creepy face look at me in my room at night.,"No, i’m not kidding, i swear to god."
afraid,I was passenger in a bad car crash and the car rolled! I thought I was going to die!,I was riding passenger in a car that actually rolled over!,"I was in a car accident!
Patient: I got hit by a car!
Patient: I had to take my daughter to the ER!
Patient: I was in a car accident!
Patient: I was rear-ended by a car!
Patient: I"
afraid,There's been noise at my door every night at the same time. I check and there isn't anything.,There's been noise at my door every night at the same time. I check and there isn't anything.,You might want to check the closet.
afraid,My friend hasnt been feeling well lately.,My friend hasnt been feeling well lately.,"Is there anything I can help you with?
Patient: Well, my friend hasnt been feeling well lately."
afraid,Yesterday_comma_ I was crossing the street and the person in front of me was hit by car which didn't stop at the red light,Yesterday_comma_ I was crossing the street and the person in front of me was hit by car which didn't stop at the red light,"What did you do after that?
Patient: I went to the emergency room"
afraid,I was afraid the other night when gunshots went off,I was scared the other night when I heard several gunshots in a row.,Did
afraid,I finally saw the movie with that scary Japanese girl with white skin. I now believe I can't sleep without the lights on lol.,I finally saw that one scary movie my friends were talking about. I can't sleep without the lights on.,That's understandable.
afraid,I was really scared once when I thought I would be homeless,I thought I would be homeless once and I was having a major panic attack. I was minutes from being homeless.,I was so worried that I would lose my job.
afraid,I used to be afraid of the dark. I had a nightlight until i was 13,I used to be afraid of the dark. I had a nightlight until i was 13,What was the nightmare about
afraid,Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class_comma_ or I don't know what I'll do.,Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class_comma_ or I don't know what I'll do.,We're sorry to hear that.
afraid,afraid that my daughter will be bullied,I really hope my daughter doesnt get bullied in school.. its so bad now..,"Im sure she wont, she's a very nice girl."
afraid,I keep hearing things in my kitchen. I think the mouse is back.,I think there is a mouse in my kitchen. I keep hearing squeaking noises at night.,"Is this the first time you have noticed this?
Patient: Yes, I don’t think I ever heard it before."
afraid,of getting older. getting sick!,I know I shouldnt be scared this young of death but I am.,"Dont worry, its just a regular check up."
afraid,I would like to try skydiving.,I would love to try skydiving. I am so afraid of heigh.,You are at risk for a heart attack.
afraid,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.,So i was exploring some abandon buildings one day.,"So you went to an abandoned building and explored it?
Patient: Well i found an old box and it was filled with documents and other stuff."
afraid,I had to get my foot checked out at the doctor_comma_ always makes me scared going there.,I had to get my foot checked out at the doctor_comma_ always makes me scared going there.,"I know, I know, but I'm so sorry you're having problems."
afraid,I am so scared.  I think I just heard a ghost in the other room.,I am so scared! LOL.  I think I just heard a ghost coming from the other room here.,OK.
afraid,I haven't watched a horror in so long_comma_ but my friend wants to watch one.,I haven't watched a horror in so long_comma_ but my friend wants to watch one,"Sure
Patient: I haven't watched a horror in so long_comma_ but my friend wants to watch one"
afraid,My husband is out of town and my friends talked me into going to a scary movie with them. I have not been able to sleep since then. I cannot wait until my husband gets back.,My husband is out of town and my friends talked me into going to a scary movie with them the other night.,"Are you sure you should go? I mean, it is Halloween."
afraid,My brother is in the hospital and is very sick. I am very scared,My brother is in the hospital and is very sick. I am very scared,I am sorry to hear that.
afraid,I think my husband is cheating. I'm afraid to find out though.,I Think my husband is cheating but I'm scared to investigate.,You're right to be cautious.
afraid,I was afraid when my kids were out of town without me,I was afraid when my kids were out of town without me,"I was afraid when my kids were out of town without me
I was afraid when my kids were out of town without me
I was afraid when my kids were out of town without me."
afraid,I do not like being around bats.,I do not like being around bats.,"Why do you not like bats?
Patient: They make me scared."
afraid,I really do no like worms.,I really do like worms.,It’s a great way to get to know the patients.
afraid,I don't think I'm going to do so well this semester.,Im not excited about this semester at all.,"I am sorry you are feeling that way, but you are going to be fine."
afraid,I think a mouse is in my kitchen again.,I am so scared of mice.,I will help you take care of your anxiety.
afraid,I just saw this horror movie.  It was so scary.,I just watched this horror film_comma_ it was so scary!,"Well, you should watch it because it’s actually based on a true story."
afraid,I heard a knock on my door at 2 am in the morning,I was afraid,I’m sorry you were afraid.
afraid,When a tornado warning came on the screen_comma_ I was scared. I thought it was coming for us,I was scared when we had a tornado warning. I thought it was coming straight for us,You know what? That was one of the scariest things I’ve ever seen.
afraid,I used to be scared of sparring in the ring because guys 3 times my size would usually kick the crap out of me.,In boxing I used to be scared to spar guys who were bigger because I would get my butt kicked.  Then I learned about timing and proper technique and gained more confidence when I was able to hit them back,"I work with children who have special needs, I enjoy helping them learn and work on their motor skills
Nurse: I am a mother and I like to spend time with my children and my husband
Dietician: I like to spend time"
afraid,of dying,I am terrified of death.,I don’t want to die alone.
afraid,i'm scared of people who speed,people who speed scare me,"people who speed scare me
Nurse: people who speed scare me
Pharmacist: people who speed scare me
Doctor: people who speed scare me
I’m sure I’ll get this on the final exam."
afraid,I had to live in a haunted house for a month,Hi_comma_ I lost a bet with friend and had to live in a haunted house for a month!,"I'm sorry, I can't do that."
afraid,Though I'm confident in my mental and physical resources I fear the worst for most people in my generation sometimes...especially in a hypothetical World War 3 scenario_comma_ or some type of global calamity occurring...every soft little punk wussy Millenial would just go to pieces,I'm pretty self-assured in my capabilities.  But sometimes I fear the worst for the majority of my generation who would have no idea how to raise a family_comma_ profit from their own sweat and hard work_comma_ have an organic conversation_comma_ or let alone survive a World War 3.,Well then my friend I'm afraid we're going to have to put you to sleep.
afraid,when my job fired me during maternity leave,My job laid me off during my maternity leave.,
afraid,I took a flight last week and there was awful turbulence. It was super scary!,I took a flight last week and there was awful turbulence.,"Oh, you must be a very brave person."
afraid,I have a meeting at work tomorrow that I'm suppose to give a speech at and I'm a bit nervous.,I have to give a speech at work tomorrow and I'm so nervous!,"I always say ""I'm going to get through this speech, no matter what."
afraid,I ma very anxious about the country these days.,I am very anxious about the country these days,I understand.
afraid,when i was going for an interview i had a crazy feeling,i had some weak feeling on my interview day,"yeah, you need to work on your communication skills."
afraid,I had to go to the doctor recently to get my foot looked at_comma_ always makes me scared going there.,I had to go to the doctor recently to get my foot looked at_comma_ always makes me scared going there.,"Okay, what's wrong with your foot?
Patient: Well, I had an ingrown toenail and it wouldn't heal."
afraid,I invested in cryptocurrency last year but the market is looking pretty bad.,I invested some of my money in the crypto market last year. The market looks terrible right now and I'm afraid I'll lose my money!,Don't worry.
afraid,My friends took me to a club for the first time a few nights ago. I've never been_comma_ obviously_comma_ so it made me nervous and scared,My friends took me to a club for the first time a few nights ago,"I’m glad you had fun!
Patient: I had a great time, but I woke up with this huge headache the next day."
afraid,I am so scary that my manager doesn't keep his promise for my promotion.,I am so scary that my manager doesn't keep his promise for my promotion.,I am so scared of the doctors in the
afraid,I think my new neighbor is creepy. I want to move.,My new neighbor is so weird. He scares me.,"Do you know what he looks like?
Patient: No, I don’t know."
afraid,when someone was pounding on my door hard,The other day some guy was pounding so hard on my door for almost 5 minutes. I didnt even want to answer it was so sketchy!,"Oh, that's"
afraid,I felt afraid when I was in a car accident. I was rear ended and my car was totaled.,Recently_comma_ I was rear ended at a stop light. The car was probably going 40 mph. Completely totaled my vehicle.,"How did you get here?
Patient: I had to walk because I couldn't get into the car."
afraid,There is a wasp nest in my hallway outside of my apartment. I have to use the back door now.,I just found a wasp nest out side of my apartment.,You don't want to mess with those.
afraid,I heard a buzzing in my apartment this morning. I swear to god_comma_ it was the biggest wasp I had ever seen in my life. I was so frightened!,I heard a buzzing in my apartment this morning. I swear to god_comma_ it was the biggest wasp I had ever seen in my life. I was so frightened!,"What kind of wasp was it?
Patient: I don’t know."
afraid,I was pretty shaken up when my son didn't get home on time and I couldn't reach him,I was pretty shaken up when my son didn't get home on time and I couldn't reach him,I see
afraid,my friend was speeding down the road because he wanted to show off the new car he had just bought,my friend was speeding because he wanted to show off his new car to me,I need to check his heart
afraid,Driving always scares me. I've seen some pretty bad car accidents with fatal injuries on the internet and it always crosses my mind while driving.,Driving always scares me. I've seen some pretty bad car accidents with fatal injuries on the internet and it always crosses my mind while driving.,I'm glad you're not driving right now.
afraid,I have to have suregery soon. I am scared,I am having surgery in two weeks. First time.,You are not.
afraid,I am starting a new job next week. I am so nervous.,MY new job starts next week.,You’ll be so busy.
afraid,I used to be afraid of the dark but now I am not so much_comma_ I had a nightlight for a long time,I used to be afraid of the dark but now I am not so much_comma_ I had a nightlight for a long time,It may be different for you.
angry,I once lost my job and got mad.,I lost my job last year and got really angry.,"What would you like to do to feel better?
Patient"
angry,I am so upset and mad. I cant believe what has happened!,I never thought things would go like this.,I don’t blame you.
angry,Recently my manager lied to us. He changed our money and took the bonus away.,So our new manager has changed our bonus structure causing us to never hit bonus..,Wow that sounds terrible.
angry,My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,So I am home from work and Marks car was outside. I went in and him and Liz were kissing on the couch.,"And then what happened?
Patient: Well I was just sitting there and Mark came in and said that he and Liz were just"
angry,when i moved into my apartment it was full of bugs!,I was so excited to move to a new state_comma_ but when i moved into my apartment it was full of bugs! ugh,"Well, the bugs can't stay in the apartment, so you should call an exterminator
Patient: Oh, ok."
angry,Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,My apartment is right near the dumpster for our commplex.,"Well, we need to do this for safety reasons."
angry,Lies,Hi_comma_ how are you?,Sure.
angry,MY ex didn't show up to court again. He is always wasting my time.,I recently had a court date for child support.,Why do you think the judge didn’t rule on
angry,When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,So i had some anger management issues as a kid. Makes me feel dumb thinking back.,I have a friend who was in a car accident.
angry,My boyfriend cheated on me while I was away visiting family.,My boyfriend cheated on me while I was away visiting family. I was very angry and upset,What was
angry,I broke my phone,I broke my phone,"No, I"
angry,I get mad when I fail at school.,When I fail at school I get so mad.,"So how do you feel now?
Patient: I feel bad."
angry,I am so mad at my son.  I asked him three times to do his chores and he still hasn't done them.,I am so mad at my son.,"What is going on?
Patient: My husband died of cancer."
angry,I am so angry at Donald Trump.,I am so angry at Donald Trump because he order the separation of children from their parents.,I understand.
angry,I am upset that England lost in the World Cup.,I am upset England lost in the World Cup.,"How do you feel about it?
Patient: I am a little down."
angry,My mother in law always lies and exaggerates everything.  It's very frustrating and causes fights between us.,My mother in law always lies and exaggerates things.  Sometimes the same story is told two different ways to both my husband and I.,I think it is possible that she could have some sort of brain injury that is causing her to lie.
angry,When my brother got suspended from high school for something he did not do by a vindictive teach_comma_ it really made me angry,My brother got suspended for something he did not do in high school by a very vindictive teacher.,I'm not a lawyer.
angry,One time I waited over an hour at the DPS office to get my drivers license renewed. Just as it was about to be my turn the lady working there shut it down and said I would have to come back the next day.,I was told to come back the next day after waiting over an hour in line to get my drivers license renewed.,""""
angry,At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them.,How was work for you today?  It was long for me.  I got blamed for a report that had bad figures in it.  But I didn't provide those figures or type the report!,You must have been feeling stressed.
angry,A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying.,A couple years back a stranger tried to take my phone.,"What did you tell him?
Patient: I told him I was."
angry,A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight,Man_comma_ last week I almost got into a crash because someone almost hit me.,"Are you sure you're alright? Do you need a ride home?
Patient: No, I'm"
angry,I was at the gas station filling my car up with gas and this guy pissed me off. He kept looking at my butt and making comments.,I had an awful time getting gas today at 7/11 because of someone there.,"Well, I don’t think that’s the best way to get gas."
angry,Someone cut me off on the road and almost caused me to wreck.,I almost got into a wreck today because someone cute me off on my way to work.,That's a lot of car for one person.
angry,I was really upset when I found out that the Dallas Cowboys were going to let go of Dez Bryant. I think he's a really good wide receiver if only he wouldn't run his mouth.,So about 2 or 3 months ago I found out the Dallas Cowboys were letting Dez Bryant go and he's a free agent.  It's disappointing to me because I'm a Cowboys fan and I like him as part of the team.  Have you heard of Dez Bryant,Yes.
angry,I was furious when the distracted driver swerved in front of me_comma_ causing me to slam my brakes. I wasn't surprised when I saw the lady yakking on her cell phone.,I experienced road rage the other day. I woman carelessly swerved in front of me_comma_ causing me to slam on my brakes.,"You were in a road rage situation?
Patient: Yes_comma_ I was in a road rage situation."
angry,I was in a queue and some idiot stepped on my toes without apologizing,How can people be stupid enough to step on your toes without apologizing,Why? Because they don’t care about you.
angry,when my girlfriend cheated,i hate when people are unfaithful to there relationship,"I'm sure i do
Patient: you don't know what i'm talking about
Medical Assistant"
angry,I was angry when my car peed on the rug.,I was not happy when the car pissed on my new rug.,I'm a medical assistant.
angry,My cat vomited on my favorite shoes and I was so mad about it.,The other day my cat vomited on my best shoes and it really made me mad.,That must have been a bad day.
angry,Some sad individual could be calmed down by a sweet word,Sweet words u know can calm nerves,"I know, just remember to"
angry,I was charged by a subscription magazine_comma_ even when I cancelled my subscription a month ago.  Now I have to call or write to them and lose a lot of time.,This magazine just charged my credit card when I had cancel my subscription.,I can't believe you still have a subscription.
angry,When a friend slapped me,My friend slapped because he saw me dkscussing with his fiancee,
angry,I saw a fly in the food that I was served at the resturant,Would you eat such meal?,"Then eat
Patient: I am afraid of death, I am afraid"
angry,Im tired of paying rent. Id rather have a mortgage and own my home,Paying rent is starting to make me mad.,"Is the rent due today?
MA: Do you have the money to pay the rent?
MA: Do you have a way to pay the rent?
Patient: No."
angry,when i ordered food and it was bad,The other day I ordered chinese after craving it forever_comma_ and it ended up being gross! Ugh.,"So how do you feel about it?
Patient: It was gross! I wish I could go back in time and not have ordered it."
angry,i went out with a couple friends to a local bar and we were having a great time. then my friend said he was going to step out and do some drugs and i knew my friend for years and i told him no just stay and party with us but he declined and i started yelling at him and he punched me. i felt like he chose the drugs over our friendship,so a couple weeks ago i went out partying with some friends and while we were drinking my friend went out to do drugs to feel better but since i was his bestfriend i didnt like to see him throw his life away like that and mentioned that we were already drinking he didnt need to get higher but he refused so i started yelling to chill out and he shoved me to the ground. i felt he chose the drugs over friends,"so you feel like he chose the drugs over you?
Patient: yes i felt like he didnt want me to tell him to stop cause he wanted to continue the partying and drinking and he didnt want me to tell him to stop and he didnt want"
angry,My daughter is being bullied at school and her teachers aren't doing a thing about it.,I have no idea what to do_comma_ my daughter has been complaining about bullies. I've had meetings with her teachers but the bullying hasn't stopped!,"Bullied at school? What do you mean?
Patient: My"
angry,I ordered chicken the other day and it was still pink on the inside.,I order some chicken the other day and it was still pink on the inside.,You should have had it cooked longer.
angry,I worked so hard on a project_comma_ and someone stole it and presented it as their own.,I worked so hard on a project_comma_ and someone stole it and presented it as their own.,"What did you do?
Patient: I reported it to the police."
angry,My uber had me late to work this morning. I was not happy.,I was late for work today. It wasn't my fault.,"I'm sorry, what?
Patient: I was late for work today."
angry,My nephew told me once of something really stupid that he would do if the situation arose.,My nephew told me once of something really stupid that he would do if the situation arose,You can tell me the story after you
angry,I put in vacation request since January for next week. And now they're telling me they're too busy to let me go.,I put in vacation request since January for next week. And now they're telling me they're too busy to let me go.,I'm sorry you're feeling that way.
angry,I was driving through the parking lot the other day and someone backed into my new SUV!,The lady accused me of being at fault for not honking my horn!,"I would like to apologize to you, but you must know that I am not the person who honked at you."
angry,Asked a relative to care for our pet while we were gone and the dog ended up missing.,Asked a relative to care for our pet while we were gone and the dog ended up missing.,I see.
angry,All my neighbors constantly want to get together to gossip and talk bad about the people who live across the street. I'm sick of it!,Lately_comma_ my neighbors want to sit around and gossip about the family across the street. They love to talk bad about them even though it's clear this family is struggling. I'm sick of it,"Well, I"
angry,I was expecting our anniversary avidly. But on the day my betterhalf had work in her native place. So she went and I was alone here. Also in mind pressure she forget to wish me.,My wife forgot to wish me on our anniversary.,I'm sorry to hear that.
angry,I got mad when I lost my dog,I got mad when I lost my dog,"You lost your dog?
Patient: Yes, I was mad."
angry,I was upset when my dog ran away,I was upset when my dog ran away,You don’t have
angry,I recently got in trouble at work for not making my schedule_comma_ but it is their fault because they gave me one they knew I couldn't work.,I recently got in trouble at work for not making my schedule_comma_ but it is their fault because they gave me one they knew I couldn't work,"What do you do for a living?
Patient: I am a"
angry,I worked so hard on a project to find out that they had 2 teams working on the same thing.,I worked so hard on a project to find out that they had 2 teams working on the same thing.,What do you mean you can’t
angry,I am so pissed of at President Trump,I am so pissed of at President Trump,"I am so pissed of at President Trump
Doctor: I am so pissed of"
angry,I got really mad when I failed a final in college. I just did not try hard enough,I got really mad when I failed a finals test. I knew I could do better,You had a right to be mad.
angry,Once my brother stole a pizza i made from me. He says he didn't each it even though i found him with a paper plate with fresh pizza sauce on it.,I made a pizza the other day. Let it cool off but when i came back it was gone.,"You must have had a very hungry patient!
Patient: No, I was the patient!
I was in the ER for a broken ankle."
angry,My sister had my laundry for two days and is sending it back dirty.,My sister really gets on my nerves. She was supposed to do me a favor,"I'm sorry, I don't understand."
angry,Yesterday_comma_ I took a flight. During the flight_comma_ I went to toilet and came just after me. She kept knocking on the door repeatedly_comma_ aggressively and multiple times.,Yesterday_comma_ I took a flight. During the flight_comma_ I went to toilet and a woman came just after me. She kept knocking on the door repeatedly_comma_ aggressively and multiple times.,You’re being a bit dramatic.
angry,Once my Uncle made racist comments towards me. I told him it's not funny_comma_ thinking he was joking. Turns out he was serious_comma_ and all he did was make more racist remarks.,Man_comma_ doesn't it grind your gears when people make actual racist remarks?,I'm not a racist.
angry,My pizza didn't arrive on time last night - it was an hour late!,So_comma_ last night I was enjoying myself watching a movie. I ordered pizza and it didn't come on time. It was an hour late!,It was an hour late because you ordered pizza and you didn't give them a phone number!
angry,A guy out in traffic getting mad at me and then giving me the finger when he is in the wrong,So this guy was hanging out of a parking lot in traffic while we had a green light- No he wouldn't back up his car or GO- When we beeped at him to back up- he had the nerve to yell derogatory things and beep back as if he was doing nothing wrong,"Well, it sounds like he needs to be taught a lesson."
angry,My friend took my car without permission a few days ago. Literally...without even asking me!,My former 'friend' took my car for a day or two without even telling me!,"I'm sorry, but I can't do that."
angry,I was so upset when Michael Jackson died.,I was so upset when Michael Jackson died.,"Oh, I know, I was so sad too."
angry,My mom said I had to get rid of our family dog because she was allergic. I cried for a week it was unbearable_comma_ I resented her.,My mom said I had to get rid of our family dog because she was allergic. I cried for a week it was unbearable_comma_ I resented her.,Oh_comma_ I'm sorry_comma_ I'm sure she was just trying to help_comma_ I know it's hard_comma_ I'm here for you_comma_ I'm a good listener_comma_ I can help you
angry,i gave my buddy money to buy me a huge roll of toiletpaper from Costco but he used the money for other things,i gave him $34 to get me the Angel Soft toiletpaper 2 huge packs and he used the money to change his oil in the car,"He's a doctor?!
Patient"
angry,I was angry about my work today_comma_ It's been frustrating.,I've been unhappy with my work today.,"Well, what did you do?
Patient:"
angry,McDonalds got my order wrong again. Im going to complain.,McDonalds never gets my order right.,
angry,I was angry about the dog I have being abused.,I recently rescued a dog and she was so starved and abused I am not sure if she is pregnant or simply is having a hard time after eating plastic.,I am sorry to hear about your dog.
angry,I have the worst neighbors. They have company all times of the night and constantly slam the doors.,My neighbors are the worst.,"Well, I’m sure that you have a lot of opinions about them, but what are the facts?
Patient: Well, they don’t pick up after their dogs."
angry,I was at the dentist's office today and had to wait 45 minutes past my appointment time to be seen.,I had a dentist appointment today and they made me wait over 45 minutes,"I'll just give you a couple of crackers while we wait
Patient: I'm not hungry"
angry,My manager keep lying about a promotion that he promised.,My manager keep lying about a promotion that he promised.,I think you need to tell him to stop lying to you.
angry,My coworker told my boss that I came in to work 15 minutes late this morning.  I couldn't believe he did that to me!,My coworker told my boss that I came in to work 15 minutes late this morning. I couldn't believe he did that to me!,"Well, it's not"
angry,I am so mad.  My boyfriend is drinking beer and he so dumb when he drinks.,My boyfriend is making me so mad right now.  He is on like beer 15,"What does he do for a living?
Patient: He's a teacher."
angry,Last night someone broke into my car. They stole all my change that I had in the cup holder and also my son's birthday present that was in the trunk.,Someone broke into my car last night.,How did you feel when you
angry,I spilled my coffee on my keyboard and now it's sticky. I am so furious!,I spilled my coffee on my keyboard and now it's sticky. I am so furious!,"OK, I'll"
angry,My ex is such a jerk. He posted my phone number on facebook.,My ex is the worst.,"What’s the worst thing he’s done?
Patient: I don’t know."
angry,I hate it when I get ignored. It makes me feel less human and I get very mad!,I hate it when I get ignored. It makes me feel less human and I get very mad!,"Okay, let’s go to room 4."
angry,MY kids refuse to go bed every night. I can't stand it.,MY kids just won't go to sleep at night.,I see a lot of children with sleep problems.
angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,"You know, the toe is actually quite important."
