context,prompt,first_utterance
afraid,I just saw this horror movie.  It was so scary.,I just watched this horror film_comma_ it was so scary!
afraid,I heard a knock on my door at 2 am in the morning,I was afraid
afraid,When a tornado warning came on the screen_comma_ I was scared. I thought it was coming for us,I was scared when we had a tornado warning. I thought it was coming straight for us
afraid,I used to be scared of sparring in the ring because guys 3 times my size would usually kick the crap out of me.,In boxing I used to be scared to spar guys who were bigger because I would get my butt kicked.  Then I learned about timing and proper technique and gained more confidence when I was able to hit them back
afraid,of dying,I am terrified of death.
afraid,i'm scared of people who speed,people who speed scare me
afraid,I had to live in a haunted house for a month,Hi_comma_ I lost a bet with friend and had to live in a haunted house for a month!
afraid,Though I'm confident in my mental and physical resources I fear the worst for most people in my generation sometimes...especially in a hypothetical World War 3 scenario_comma_ or some type of global calamity occurring...every soft little punk wussy Millenial would just go to pieces,I'm pretty self-assured in my capabilities.  But sometimes I fear the worst for the majority of my generation who would have no idea how to raise a family_comma_ profit from their own sweat and hard work_comma_ have an organic conversation_comma_ or let alone survive a World War 3.
afraid,when my job fired me during maternity leave,My job laid me off during my maternity leave.
afraid,I took a flight last week and there was awful turbulence. It was super scary!,I took a flight last week and there was awful turbulence.
afraid,I have a meeting at work tomorrow that I'm suppose to give a speech at and I'm a bit nervous.,I have to give a speech at work tomorrow and I'm so nervous!
afraid,I ma very anxious about the country these days.,I am very anxious about the country these days
afraid,when i was going for an interview i had a crazy feeling,i had some weak feeling on my interview day
afraid,I had to go to the doctor recently to get my foot looked at_comma_ always makes me scared going there.,I had to go to the doctor recently to get my foot looked at_comma_ always makes me scared going there.
afraid,I invested in cryptocurrency last year but the market is looking pretty bad.,I invested some of my money in the crypto market last year. The market looks terrible right now and I'm afraid I'll lose my money!
afraid,My friends took me to a club for the first time a few nights ago. I've never been_comma_ obviously_comma_ so it made me nervous and scared,My friends took me to a club for the first time a few nights ago
afraid,I am so scary that my manager doesn't keep his promise for my promotion.,I am so scary that my manager doesn't keep his promise for my promotion.
afraid,I think my new neighbor is creepy. I want to move.,My new neighbor is so weird. He scares me.
afraid,when someone was pounding on my door hard,The other day some guy was pounding so hard on my door for almost 5 minutes. I didnt even want to answer it was so sketchy!
afraid,I felt afraid when I was in a car accident. I was rear ended and my car was totaled.,Recently_comma_ I was rear ended at a stop light. The car was probably going 40 mph. Completely totaled my vehicle.
afraid,There is a wasp nest in my hallway outside of my apartment. I have to use the back door now.,I just found a wasp nest out side of my apartment.
afraid,I heard a buzzing in my apartment this morning. I swear to god_comma_ it was the biggest wasp I had ever seen in my life. I was so frightened!,I heard a buzzing in my apartment this morning. I swear to god_comma_ it was the biggest wasp I had ever seen in my life. I was so frightened!
afraid,I was pretty shaken up when my son didn't get home on time and I couldn't reach him,I was pretty shaken up when my son didn't get home on time and I couldn't reach him
afraid,my friend was speeding down the road because he wanted to show off the new car he had just bought,my friend was speeding because he wanted to show off his new car to me
afraid,Driving always scares me. I've seen some pretty bad car accidents with fatal injuries on the internet and it always crosses my mind while driving.,Driving always scares me. I've seen some pretty bad car accidents with fatal injuries on the internet and it always crosses my mind while driving.
afraid,I have to have suregery soon. I am scared,I am having surgery in two weeks. First time.
afraid,I am starting a new job next week. I am so nervous.,MY new job starts next week.
afraid,I used to be afraid of the dark but now I am not so much_comma_ I had a nightlight for a long time,I used to be afraid of the dark but now I am not so much_comma_ I had a nightlight for a long time
angry,I once lost my job and got mad.,I lost my job last year and got really angry.
angry,I am so upset and mad. I cant believe what has happened!,I never thought things would go like this.
angry,Recently my manager lied to us. He changed our money and took the bonus away.,So our new manager has changed our bonus structure causing us to never hit bonus..
angry,My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,So I am home from work and Marks car was outside. I went in and him and Liz were kissing on the couch.
angry,when i moved into my apartment it was full of bugs!,I was so excited to move to a new state_comma_ but when i moved into my apartment it was full of bugs! ugh
angry,Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,My apartment is right near the dumpster for our commplex.
angry,Lies,Hi_comma_ how are you?
angry,MY ex didn't show up to court again. He is always wasting my time.,I recently had a court date for child support.
angry,When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,So i had some anger management issues as a kid. Makes me feel dumb thinking back.
angry,My boyfriend cheated on me while I was away visiting family.,My boyfriend cheated on me while I was away visiting family. I was very angry and upset
angry,I broke my phone,I broke my phone
angry,I get mad when I fail at school.,When I fail at school I get so mad.
angry,I am so mad at my son.  I asked him three times to do his chores and he still hasn't done them.,I am so mad at my son.
angry,I am so angry at Donald Trump.,I am so angry at Donald Trump because he order the separation of children from their parents.
angry,I am upset that England lost in the World Cup.,I am upset England lost in the World Cup.
angry,My mother in law always lies and exaggerates everything.  It's very frustrating and causes fights between us.,My mother in law always lies and exaggerates things.  Sometimes the same story is told two different ways to both my husband and I.
angry,When my brother got suspended from high school for something he did not do by a vindictive teach_comma_ it really made me angry,My brother got suspended for something he did not do in high school by a very vindictive teacher.
angry,One time I waited over an hour at the DPS office to get my drivers license renewed. Just as it was about to be my turn the lady working there shut it down and said I would have to come back the next day.,I was told to come back the next day after waiting over an hour in line to get my drivers license renewed.
angry,At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them.,How was work for you today?  It was long for me.  I got blamed for a report that had bad figures in it.  But I didn't provide those figures or type the report!
angry,A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying.,A couple years back a stranger tried to take my phone.
angry,A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight,Man_comma_ last week I almost got into a crash because someone almost hit me.
angry,I was at the gas station filling my car up with gas and this guy pissed me off. He kept looking at my butt and making comments.,I had an awful time getting gas today at 7/11 because of someone there.
angry,Someone cut me off on the road and almost caused me to wreck.,I almost got into a wreck today because someone cute me off on my way to work.
angry,I was really upset when I found out that the Dallas Cowboys were going to let go of Dez Bryant. I think he's a really good wide receiver if only he wouldn't run his mouth.,So about 2 or 3 months ago I found out the Dallas Cowboys were letting Dez Bryant go and he's a free agent.  It's disappointing to me because I'm a Cowboys fan and I like him as part of the team.  Have you heard of Dez Bryant
angry,I was furious when the distracted driver swerved in front of me_comma_ causing me to slam my brakes. I wasn't surprised when I saw the lady yakking on her cell phone.,I experienced road rage the other day. I woman carelessly swerved in front of me_comma_ causing me to slam on my brakes.
angry,I was in a queue and some idiot stepped on my toes without apologizing,How can people be stupid enough to step on your toes without apologizing
angry,when my girlfriend cheated,i hate when people are unfaithful to there relationship
angry,I was angry when my car peed on the rug.,I was not happy when the car pissed on my new rug.
angry,My cat vomited on my favorite shoes and I was so mad about it.,The other day my cat vomited on my best shoes and it really made me mad.
angry,Some sad individual could be calmed down by a sweet word,Sweet words u know can calm nerves
angry,I was charged by a subscription magazine_comma_ even when I cancelled my subscription a month ago.  Now I have to call or write to them and lose a lot of time.,This magazine just charged my credit card when I had cancel my subscription.
angry,When a friend slapped me,My friend slapped because he saw me dkscussing with his fiancee
angry,I saw a fly in the food that I was served at the resturant,Would you eat such meal?
angry,Im tired of paying rent. Id rather have a mortgage and own my home,Paying rent is starting to make me mad.
angry,when i ordered food and it was bad,The other day I ordered chinese after craving it forever_comma_ and it ended up being gross! Ugh.
angry,i went out with a couple friends to a local bar and we were having a great time. then my friend said he was going to step out and do some drugs and i knew my friend for years and i told him no just stay and party with us but he declined and i started yelling at him and he punched me. i felt like he chose the drugs over our friendship,so a couple weeks ago i went out partying with some friends and while we were drinking my friend went out to do drugs to feel better but since i was his bestfriend i didnt like to see him throw his life away like that and mentioned that we were already drinking he didnt need to get higher but he refused so i started yelling to chill out and he shoved me to the ground. i felt he chose the drugs over friends
angry,My daughter is being bullied at school and her teachers aren't doing a thing about it.,I have no idea what to do_comma_ my daughter has been complaining about bullies. I've had meetings with her teachers but the bullying hasn't stopped!
angry,I ordered chicken the other day and it was still pink on the inside.,I order some chicken the other day and it was still pink on the inside.
angry,I worked so hard on a project_comma_ and someone stole it and presented it as their own.,I worked so hard on a project_comma_ and someone stole it and presented it as their own.
angry,My uber had me late to work this morning. I was not happy.,I was late for work today. It wasn't my fault.
angry,My nephew told me once of something really stupid that he would do if the situation arose.,My nephew told me once of something really stupid that he would do if the situation arose
angry,I put in vacation request since January for next week. And now they're telling me they're too busy to let me go.,I put in vacation request since January for next week. And now they're telling me they're too busy to let me go.
angry,I was driving through the parking lot the other day and someone backed into my new SUV!,The lady accused me of being at fault for not honking my horn!
angry,Asked a relative to care for our pet while we were gone and the dog ended up missing.,Asked a relative to care for our pet while we were gone and the dog ended up missing.
angry,All my neighbors constantly want to get together to gossip and talk bad about the people who live across the street. I'm sick of it!,Lately_comma_ my neighbors want to sit around and gossip about the family across the street. They love to talk bad about them even though it's clear this family is struggling. I'm sick of it
angry,I was expecting our anniversary avidly. But on the day my betterhalf had work in her native place. So she went and I was alone here. Also in mind pressure she forget to wish me.,My wife forgot to wish me on our anniversary.
angry,I got mad when I lost my dog,I got mad when I lost my dog
angry,I was upset when my dog ran away,I was upset when my dog ran away
angry,I recently got in trouble at work for not making my schedule_comma_ but it is their fault because they gave me one they knew I couldn't work.,I recently got in trouble at work for not making my schedule_comma_ but it is their fault because they gave me one they knew I couldn't work
angry,I worked so hard on a project to find out that they had 2 teams working on the same thing.,I worked so hard on a project to find out that they had 2 teams working on the same thing.
angry,I am so pissed of at President Trump,I am so pissed of at President Trump
angry,I got really mad when I failed a final in college. I just did not try hard enough,I got really mad when I failed a finals test. I knew I could do better
angry,Once my brother stole a pizza i made from me. He says he didn't each it even though i found him with a paper plate with fresh pizza sauce on it.,I made a pizza the other day. Let it cool off but when i came back it was gone.
angry,My sister had my laundry for two days and is sending it back dirty.,My sister really gets on my nerves. She was supposed to do me a favor
angry,Yesterday_comma_ I took a flight. During the flight_comma_ I went to toilet and came just after me. She kept knocking on the door repeatedly_comma_ aggressively and multiple times.,Yesterday_comma_ I took a flight. During the flight_comma_ I went to toilet and a woman came just after me. She kept knocking on the door repeatedly_comma_ aggressively and multiple times.
angry,Once my Uncle made racist comments towards me. I told him it's not funny_comma_ thinking he was joking. Turns out he was serious_comma_ and all he did was make more racist remarks.,Man_comma_ doesn't it grind your gears when people make actual racist remarks?
angry,My pizza didn't arrive on time last night - it was an hour late!,So_comma_ last night I was enjoying myself watching a movie. I ordered pizza and it didn't come on time. It was an hour late!
angry,A guy out in traffic getting mad at me and then giving me the finger when he is in the wrong,So this guy was hanging out of a parking lot in traffic while we had a green light- No he wouldn't back up his car or GO- When we beeped at him to back up- he had the nerve to yell derogatory things and beep back as if he was doing nothing wrong
angry,My friend took my car without permission a few days ago. Literally...without even asking me!,My former 'friend' took my car for a day or two without even telling me!
angry,I was so upset when Michael Jackson died.,I was so upset when Michael Jackson died.
angry,My mom said I had to get rid of our family dog because she was allergic. I cried for a week it was unbearable_comma_ I resented her.,My mom said I had to get rid of our family dog because she was allergic. I cried for a week it was unbearable_comma_ I resented her.
angry,i gave my buddy money to buy me a huge roll of toiletpaper from Costco but he used the money for other things,i gave him $34 to get me the Angel Soft toiletpaper 2 huge packs and he used the money to change his oil in the car
angry,I was angry about my work today_comma_ It's been frustrating.,I've been unhappy with my work today.
angry,McDonalds got my order wrong again. Im going to complain.,McDonalds never gets my order right.
angry,I was angry about the dog I have being abused.,I recently rescued a dog and she was so starved and abused I am not sure if she is pregnant or simply is having a hard time after eating plastic.
angry,I have the worst neighbors. They have company all times of the night and constantly slam the doors.,My neighbors are the worst.
angry,I was at the dentist's office today and had to wait 45 minutes past my appointment time to be seen.,I had a dentist appointment today and they made me wait over 45 minutes
angry,My manager keep lying about a promotion that he promised.,My manager keep lying about a promotion that he promised.
angry,My coworker told my boss that I came in to work 15 minutes late this morning.  I couldn't believe he did that to me!,My coworker told my boss that I came in to work 15 minutes late this morning. I couldn't believe he did that to me!
angry,I am so mad.  My boyfriend is drinking beer and he so dumb when he drinks.,My boyfriend is making me so mad right now.  He is on like beer 15
angry,Last night someone broke into my car. They stole all my change that I had in the cup holder and also my son's birthday present that was in the trunk.,Someone broke into my car last night.
angry,I spilled my coffee on my keyboard and now it's sticky. I am so furious!,I spilled my coffee on my keyboard and now it's sticky. I am so furious!
angry,My ex is such a jerk. He posted my phone number on facebook.,My ex is the worst.
angry,I hate it when I get ignored. It makes me feel less human and I get very mad!,I hate it when I get ignored. It makes me feel less human and I get very mad!
angry,MY kids refuse to go bed every night. I can't stand it.,MY kids just won't go to sleep at night.
angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.
angry,I was very upset when I realized my neighbors dog had puppies_comma_ about ten of them. They don't take care of them and they are malnourished. It's enfuriating.,Hi friend_comma_ I'm pretty upset right now.
angry,I had a job interview. Everything went great and I just knew the job was mine.,I had a job interview. Everything went great and I just knew the job was mine.
angry,My sister always borrows money and never pays it back on time.,My sister always owes  me money
angry,I got angry with people in the supermarket. They were letting their young child push the trolley and it was very busy. They were blocking all the aisles.,I was in the supermarket the other day. It was very busy and people were letting their kids run wild causing chaos!
angry,I went to get in my car to drive home after work_comma_ and another car had parked right behind me_comma_ blocking me. I tried calling the number on their dashboard_comma_ and they just ignored my call. I had to get the police to help just to leave.,I've been so frustrated today.
angry,My flight was cancelled,Had a board meeting  to attend _comma_yet at the last hour_comma_ after delay _comma_it was cancelled
angry,Not too long ago a people stole my identity.  I am so upset by it.,I recently has my identity stolen on the internet.
angry,My friend broke my phone that I had worked hard to buy,I bought a really expensive phone that I worked very hard to buy. Sadly_comma_ my friend dropped it and broke it.
angry,For the 3rd month in a row_comma_ I have received and incorrect cell phone bill!  I feel like screaming at the customer care representatives!,For the 3rd month in a row_comma_ I have received and incorrect cell phone bill! I feel like screaming at the customer care representatives!
angry,My boss fired me for no reason,Hi_comma_ my boss my fired me for no reason
angry,my rent increased,I am so upset with how my rent continues to increase!
angry,My cousin crashed my car,He was_comma_ but I am livid with him_comma_ since he destroyed my car.
angry,my neighbor's cat keeps pooping on my balcony,neighbor cat is nasty
angry,The store down the street never has any Corona light in stock,My local deli never has any corona light beers
angry,when my neighbors wouldnt stop their dog from barking and it bit me,I told my neighbor multiple times to stop their dog from barking. They leave it outside the entire day and most of the night!
angry,My husband gets cranky when he gets woken up and takes it out on me.,My husband takes it out on me when he gets woken up and it makes me so mad.
angry,I am piss-off,I am so mad at the republicans.
angry,I just witnessed someone steal from an old woman walking across the street. Boils my blood!,I witnessed a man rob an old woman walking across the street. Boils my friggin' blood!
angry,I am so mad at the republicans.,I am so mad at the republicans.
angry,I got out of work the other day and noticed that someone had slashed one of my tires in the parking lot.  I was taken aback and upset,I got off work the other day and noticed one of my tires had been slashed in the parking lot.  Needless to say_comma_ not the best way to end the work day
angry,Yesterday_comma_ somebody stole my cappuccino at Starbucks. I was livid!,So_comma_ yesterday morning_comma_ some ingrate stole my cappuccino at Starbucks.
angry,I lost the spelling bee when I was in second grade. I was so peeved.,Way back in my elementary school days_comma_ I lost the spelling when I was only in the second grade.
angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out.,My husband's sister was living with us. She was acting rude so we had to kick her out.
angry,Some one took away my lawn mover,Someone stole my lawn mower
anxious,I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,i bumped into a car while reversing_comma_ i had to wait long to talk to owner of the other car
anxious,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,Did you go outside and see if anyone was hurt?
anxious,I cant wait to relocate again.,I cant wait to relocate and move again. I am so ready.
anxious,in a hurry to go on vacation!,I am so impatient right now... waiting for the clock to hit 5 so I can go on vacation!
anxious,I can't wait for HAlloween. It is my favorite holifay. I love dressing up with the kids.,Halloween can't get here quick enough.
anxious,I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand_comma_ I was still really worried that it would be awkward and that I might mess it up.,I know it seems late_comma_ but I'm 19 and I went on my first date only about one month ago.
anxious,I have a job interview coming up next week. I'm a little nervous about it.,I've got a job interview next week. I'm feeling a little uneasy about it.
anxious,I am stressed by my blood test results that I will receive tomorrow.,I am stressed by my blood test results that I will have tomorrow.
anxious,I had to have some tests run due to an unclear mammogram.  It took days for the results to come back and thankfully they were all clear.,I had to have some extra tests ran a few weeks back due to an unclear mammogram.
anxious,Just injured my ankle. Now I can't work.,Just injured my ankle. Now I can't work
anxious,My daughter was thrown from her horse a few months back.  We took her to the hospital and it took hours to make sure she was ok.  Those were a long few hours.,My daughter was thrown from her horse a few months back.
anxious,Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do,I recently had an existential crisis. It was awful
anxious,We made the decision to homeschool our girls.  It's a tremendous responsibility and I still don't think I've got it all together.,We made the decision to homeschool our girls years ago.
anxious,The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations,The night WS the longest to me back then_comma_eager to know my score!
anxious,The night before a job interview I have a difficult time sleeping. I get too nervous about meeting them,I have a difficult falling asleep before a job interview
anxious,I was really nervous when starting a new job a few months ago..,I was really nervous when starting a new job a few months ago..
anxious,I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week,I have a presentation to prepare for this week and I am finding it really hard to meet the deadline. I am so stressed
anxious,I have applied for a job 4 months ago and I am having an interview with the company tomorrow. I do not know what i will see there as it is my first interview ever,I am having a job interview tomorrow and it is my first interview ever
anxious,I am so nervous.  I am going to the dentist to have a tooth pulled tomorrow.,I am really nervous.  I have to go tomorrow to get my tooth pulled and I am scared to death.  I hate the dentist!
anxious,I am so nervous about my upcoming surgery. I have never had to have a surgery before. I just hope everything goes right!,I am worried about my surgery next week. I have never had to get surgery before!
anxious,I am really nervous.  I have to take an important exam next week.,I am so nervous.  I have to take a really important exam next week.
anxious,I'm awaiting eagerly to meet my friend. She is coming to my home to meet after 5 years later.,I'm awaiting eagerly to meet my friend. She is coming to my home.
anxious,I once was in a car with my friend who was really high and I was pretty scared. I thought that he would drive really badly but he didn't_comma_ but it was still worrying.,I was once a little scared that I was gonna die since I was in the passenger seat with someone who was very high driving the car. I didn't know a whole lot about drugs at the time.
anxious,My girlfriend sent me a gift and it will get to me in 3 days. I cannot wait to see what she got for me,I am waiting for a gift my girlfriend sent to me from overseas. I just want to see what i got
anxious,I am so stress. Tomorrow_comma_ I will have my final exams.,I am so stress. Tomorrow_comma_ I will have my final exams.
anxious,I am stressed. My wife is expecting a baby. I am happy but at the same time I feel littlle stress by the responsabillities.,I am stressed. My wife is expecting a baby. I am happy but at the same time I feel littlle stresse by the responsibilities.
anxious,I am always cuios about the things i dont know,I am curios to undersand the the i dont know
anxious,I have a test tommorow.,I have a test tomorrow.
anxious,A couple weeks ago_comma_ I was up for selection for a promotion at my job. I have been preparing for the promotion for the past couple of months. The days leading up to the promotion board were very high strung and I was very anxious.,Hello_comma_ my friend. I just received my promotion results back and it turns out I was not selected - which is a colossal bummer.
anxious,The first day of my new job_comma_ I was very anxious. I felt like it was just a completely different world.,I was pretty anxious on my first day of work. It was like a new world I was entering.
anxious,my daughter is going to order a pizza. I am so hungry.,MY daughter is gonna go pick up a pizza for us. I am so hungry
anxious,The kids are going bac to school next week. I can't wait!,IT's almost time for schoo to start back!
anxious,I had an exam to write that I was not well prepared for,I paid for a certification exam and had a terrible accident that kept me bed ridden in the hospital I got out and realized I had just 5 days to my exam
anxious,I was unsure how I was going to argue a case in front of my boss.,I tried really hard to make a good argument but I was scared.
