emotion,idx,prompt,first_utterance
afraid,39,Sooo scary! I was in the basement today and I swear to you I saw a ghost.,Sooo scary! I was in the basement today and I swear to you I saw a ghost
afraid,40,when i was going for an interview i was so afraid as i could not tell the end results,it was just yesterday when i was going for an interview and personally i was so afraid because i did not know what were the end results
afraid,41,There might be a hurricane in my area soon. I am worried our house may flood and we may be without power for awhile.,There may be a hurricane in my area soon I am kind of scared.
afraid,42,I was driving through an allay _comma_dark and lonely_comma_when suddenly my car broke down,I was driving through an allay _comma_dark and lonely_comma_when suddenly my car broke down_comma_it was really dark!
afraid,43,I was in a car wreck on the way home from church.,I was in a car wreck on the way home from church.
afraid,44,it's monsoon season here where i live and I can hear the thunder rumbling_comma_ I hope we don't get flooded. I'm pretty scared.,it's monsoon season here where i live and I can hear the thunder rumbling_comma_ I hope we don't get flooded. I'm pretty scared.
afraid,45,I'm not a big fan of water_comma_ like oceans_comma_ lakes_comma_ or rivers. Recently my husband's family invited us for a weekend at their cabin which is on a lake. They have a pontoon so I thought we'd just fish and hang out. My husband made me get in the water. I was so terrified something was going to eat me.,I'm not a huge fan of water. My husband recently made me go swimming in the lake at his parent's cabin though.
afraid,46,once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .,hi
afraid,47,When I was a child I was in a destructive tornado.,When I was a child I was in a destructive tornado.
afraid,48,of dying,I am terrified of death.
afraid,49,I overdrafted my bank account.,I accidentally overdrafted my bank account and now don't have enough money to pay the fee or my bills. I'm scared of what could happen
afraid,50,When my house burned down in the 8th grade,It really hurts to think about it happening_comma_ my house burning.
afraid,51,I was scared driving home last night. I felt like a car was following me,I was scared driving home last night. It felt like I was being followed
afraid,52,I got stuck in an elevator recently. I was so scared that I would die in there.,I got stuck in an elevator recently.
afraid,53,I went to Cuba to visit some family members and met up with some friends to go to a bar. It was like 3 AM when we were walking back home and there were these guys hiding in the shadows looking at us. We ended up running very fast but they never followed thankfully.,So i recently traveled to Cuba to see some friends and we went to a bar until 3 AM_comma_ and as we were walking back there were these 3 guys hiding in the shadows. We got so scared we started running but thankfully they didn't follow.
afraid,54,My son has been having stomach pain for months now and the doctors can't figure out what it is. They basically say he has to get worse for them to find a diagnosis if some new problem comes up. I'm so scared.,My son has been having stomach pain for months now and the doctors can't figure out what it is. They basically say he has to get worse for them to find a diagnosis if some new problem comes up. I'm so scared.
afraid,55,i was scared walking home alone last night,i was scared walking home alone last night
afraid,56,When my son was born_comma_ I was pretty worried. We knew that something wasn't quite right_comma_ so we weren't sure what to expect.,When my son was born_comma_ we knew that something was up before he came out. It was pretty scary.
afraid,57,We were under a significant storm warning. The sky turned dark and the wind began to blow harder.,We were under a significant storm warning. The sky turned dark and the wind began to blow harder.
afraid,58,I feel a bit scared sometimes living alone in a rough neighborhood. I have dogs..but I don't have a weapond.,I feel a bit scared sometimes living alone in a rough neighborhood.
afraid,59,when i was going for an interview i had a crazy feeling,i had some weak feeling on my interview day
afraid,60,I'm scared because both of my parents will not be with me too much longer.,I'm getting scared because both of my parents will not be with me too much longer. They've both got dementia.
afraid,61,I watched a scary movie the other day while i was at home alone.,I watched a scary movie the other day while I was at home alone.
afraid,62,I was walking around my mansion at night one cold day in October. I then heard spooky sounds_comma_ and saw the ghost of Michael Jackson.,"Some times at night_comma_ I can hear some shouting ""AHHHHHHH""_comma_ ""HEE HEE""."
afraid,63,Once I took a sip of iced tea while I was driving and it went down the wrong pipe. I had to pull over so I could try to breathe again.,Once I took a sip of iced tea while I was driving and it went down the wrong pipe. I had to pull over so I could try to breathe again.
afraid,64,They laid off 3 people at work yesterday. Still haven't mentioned it yet.,They laid off 3 people at work yesterday. Still haven't mentioned it yet.
afraid,65,I was driving and this guy started following no matter which turn i took. I was worried that he was going to follow me home,I was on my drive home from work today and this guy started following me. It was kind of scary
afraid,66,I heard a noise outside my window last night that sounded like someone tapping on the window. I was terrified. It turned out to be a bird on a tree limb.,I was so terrified last night! I heard a noise outside my bedroom that sounded like someone was tapping on the window!
afraid,67,In a way I'm scared to show love or get close in a relationship. I mistook pity and infatuation for love and ended up being miserable. Am I gonna let that happen again? Hell no,I'm scared to show love or get close in a relationship. I once mistook pity and infatuation for love and ended up being miserable. Am I gonna let that happen again? Hell no
afraid,68,I just went to a late night showing of insidious. I almost wet myself from the shock at certain parts.,I just got back from a latenight showing of the horror movie insidious
afraid,69,I love to hear the rain falling but seeing the lighting and hearing the thunder makes me shudder.,I love to hear the rain falling but seein the lightning and hearing the thunder makes me shudder.
afraid,70,I saw a spider and i got scared.,I saw a spider and i got scared
afraid,71,My husband is out of town and my friends talked me into going to a scary movie with them. I have not been able to sleep since then. I cannot wait until my husband gets back.,My husband is out of town and my friends talked me into going to a scary movie with them the other night.
afraid,72,I used to be afraid of the dark. I had a nightlight until i was 13,I used to be afraid of the dark. I had a nightlight until i was 13
afraid,73,I went in a haunted house for halloween. Saw some weird ghosts.,Haunted houses really give me the creeps.
afraid,74,I stole some candy from Party City when I was a kid. I was so scared that the cops were going to nab me.,I stole some candy from Party City when I was a kid. I was so afraid that the cops were going to nab me.
afraid,75,Our home was broken into shortly after we moved in. I am still scared about what happened.,Our home was broken into right after we moved in.
afraid,76,I am not afraid to admit this: I am 32 and afraid of the dark. The other day_comma_ my electricity went out due to a storm. It was dark_comma_ I couldn't find my phone or a light_comma_ so I screamed for my girlfriend to wake up. Am I embarrassed to say that_comma_ not at all_comma_ lol,I am not afraid to admit this: I am 32 and afraid of the dark. The other day_comma_ my electricity went out due to a storm. It was dark_comma_ I couldn't find my phone or a light_comma_ so I screamed for my girlfriend to wake up. Am I embarrassed to say that_comma_ not at all_comma_ lol
afraid,77,Being alone in a foreign country.,Honestly there is nothing worse then having to go on a trip out of the country by myself.
afraid,78,There is a wasp nest in my hallway outside of my apartment. I have to use the back door now.,I just found a wasp nest out side of my apartment.
afraid,79,I was really scared once when I thought I would be homeless,I thought I would be homeless once and I was having a major panic attack. I was minutes from being homeless.
afraid,80,When my house burned down. I had to save my mother.,Seeing my house burn down was so scary.
afraid,81,My father and brother are in a serious conflict with each other right now_comma_ as my father has complained about the way my brother raises his son. Obviously it's a really stressful_comma_ tenuous situation and I have no idea who's side to take_comma_ and I'm worried it will lead to them not wanting to keep in touch anymore.,My father and brother are in a serious conflict with each other right now_comma_ as my father has complained about the way my brother raises his son. Obviously it's a really stressful_comma_ tenuous situation and I have no idea who's side to take_comma_ and I'm worried it will lead to them not wanting to keep in touch anymore.
afraid,82,I am very fearful of dying. I know it will come one day_comma_ I just hope and pray it doesn't hurt so bad.,I am very fearful of dying. I know it will come one day_comma_ I just hope and pray it doesn't hurt so bad.
afraid,83,i was scared walking home alone the other night,i was scared walking home alone the other night
afraid,84,MY daughter keeps begging me to watch IT. I am going to tomorrow_comma_ with all of the lights on.,My daughter has be begging me to watch the movie IT
afraid,85,I was cleaning the yard and uncovered a huge nest of black widow spiders!,I was cleaning in the yard when I discovered a huge nest of black widow spiders!
afraid,86,I forgot to make my student loan payment this month. I'm scared it will affect my credit score.,I forgot to make my student loan payment this month.
afraid,87,On Halloween I was nervous to go out at night. I was scared people were going to kidnap me,Last Halloween I was nervous to go out at night.
afraid,88,I think a mouse is in my kitchen again.,I am so scared of mice.
afraid,89,We had a huge black snake in our backyard today and couldn't catch it. Now I am looking all over the place whenever I go outside. Waiting for it to shock me.,We had a huge black snake in our backyard today and couldn't catch it. Now I am looking all over the place whenever I go outside. Waiting for it to shock me.
afraid,90,I was in a car accident.,I was in a car accident. Both cars were totaled.
afraid,91,I finally got over my fear of heights! But before that_comma_ I had never been so scared in my life. I went sky-diving.,I finally got over my fear of heights! But before that_comma_ I had never been so scared in my life. I went sky-diving so I had to jump off a plane!
afraid,92,When my car caught on fire while driving,I had my car catch on fire while driving!
afraid,93,My house burned down and I had to rescue my family_comma_ It was a chilly night.,What a scary night that was.
afraid,94,Someone broke into my apartment last week. I was not home at the time_comma_ but now I worry that they will come back.,Someone broke into my apartment last week. I was not home at the time_comma_ but now I worry that they will come back.
afraid,95,Last week I got bit by a spider.,A tarantula bit me in my living room the other day and I thought I was going to die.
afraid,96,While i was sleeping the other night_comma_ my house alarm off. it was scary,As I was sleeping_comma_ my burglary alarm went off. It frightened me.
afraid,97,gotta go fast to the potty,gotta go fast
afraid,98,I was in bed and i heard a loud noise in my kitchen. but i was home alone!,i was inbed last night and heard a loud bang in the kitchen
afraid,99,I am Junior Manager and one night I have to stay at office for whole night as I was having excessive work that day. So_comma_ everyone in the office left and I was all alone in the office. There was pin drop silence there and even I can hear the ticking of the clock. Even a single noise scared me that time.,I stayed alone at night in a office due to excessive work and was much scared.
afraid,100,There have been so many crimes near me lately. It is getting out of hand,There is so much crime near me its getting ridiculous
afraid,101,I worked one job where I was always the last person to leave the building. I hated going into the empty parking lot by myself.,I worked one job where I was always the last person to leave the building. I hated going into the empty parking lot by myself.
afraid,102,Last week there was a large spider on my wall.,Last week there was a huge tarantula on my wall. I thought it was going to jump on me.
afraid,103,I have been diagnosed with psoriatic arthritis and the pain is horrible. The problem is_comma_ the medicine that my doctor wants me to take has side effects that are worse than the pain_comma_ so I don't want to take them. That means I have to suffer through the pain.,I've been diagnosed with psoriatic arthritis and the pain is horrible. The problem is that the medicine that my doctor wants me to take has side effects worse that the pain.
afraid,104,I am home alone this weekend. I do not like that. It gets too quiet.,I am all one in the house this weekend.
afraid,105,i was scared to walk home the other night,i was scared to walk home the other night
afraid,106,There is an abandoned school an hour drive from my house. It is said to be haunted. A group of friends and I decided it would be fun to go check it out. Once we arrived_comma_ I was so scared that I could not even get out of the car!,Near my house_comma_ there is an abandoned school that is said to be haunted. When I was a teenager_comma_ a group of friends and I decided to go check it out.
afraid,107,I watched a horror movie last night. I was so scared_comma_ I nearly cried.,I watched a horror movie last night.
afraid,108,I took a flight last week and there was awful turbulence. It was super scary!,I took a flight last week and there was awful turbulence.
afraid,109,I accidentally dropped my phone and the screen started glitching out and the phone didn't want to turn on anymore.,I accidentally dropped my phone at the screen started to glitch out and didn't want to turn on anymore. I was scared because it was a brand new phone. Thankfully after a while of it just sitting there it turned back on normally.
afraid,110,I am going to my first haunted house this October! I don't know why I feel so scarred!,I am going to my first haunted house this October! I don't know why I feel so scarred!
afraid,111,I was scared when I was on a vacation to Mexico_comma_ after hearing about the crime there.,I took a vacation to Mexico_comma_ but was scared to go anywhere because of the crime in the area.
afraid,112,I thought I saw a ghost in my house last night.,I thought I saw a ghost in my house last night. I got so scared!
afraid,113,i was scared the other night when i had to walk home alone,i was scared the other night when i had to walk home alone
afraid,114,I'm scared I'll never get married and settle down,I'm scared I'll never get married and settle down
afraid,115,I was afraid when I went into the movies alone,I was afraid when I went into the movies alone
afraid,116,I am scared I won't like my new neighbors. That's how it usualy goes around here,I am scared that I won't like my new neighbors
afraid,117,im scared that we will go to war soon,im scared that we will go to war soon
afraid,118,of getting older. getting sick!,I know I shouldnt be scared this young of death but I am.
afraid,119,I was walking home one night and I saw some guy standing next to a wall_comma_ luckily he didn't have any bad intentions. I was freaked out,I was walking home one night and I saw some guy standing next to a wall_comma_ luckily he didn't have any bad intentions. I was freaked out
afraid,120,I hate hate hate riding on trains!,Everytime im on the train I swear im going to have a panic attack.
afraid,121,I hate to sleep with the lights off. It is too scary for me.,I hate to sleep with the lights off.
afraid,122,A man was following me home last night. I had to walk really fast to avoid him catching up.,A man followed me as I was walking home last night. I walked really fast to avoid him catching up with me.
afraid,123,I was walking down the sidewalk at night. I thought I saw the same car following me from a distance,I was walking down the sidewalk at night and thought I saw someone following me
afraid,124,I did not have a car for a few years and just recently bought a new one. I was scared to drive at first_comma_ especially on the highways around here. People drive like crazy people and didn't want to get in another accident. I am getting used to it now though.,I recently bought a new car after not driving for several years and I was really scared to drive it_comma_ especially on the highway.
afraid,125,I am scared of spiders!,I am scared of spiders!
afraid,126,I owe some guys some money after playing a poker game. They know where I live and I see them driving by late at night.,I don't know what to do. I played a game of poker with some sketchy guys and now I owe them a lot of money.
afraid,127,My frien with back with her ex. I think its going to end badly.,my friend went back with her ex again.
afraid,128,I have pain in my stomach for about a week now. By reading what is on the internet_comma_ I am very worried.,I have pain in my stomach for about a week now. By reading what is on the internet_comma_ I am very worried.
afraid,129,Last night I heard a weird noise outside. It really scored my wife and I.,Last night I heard a weird noise outside. It really scared my wife and I.
afraid,130,I think my new neighbor is creepy. I want to move.,My new neighbor is so weird. He scares me.
afraid,131,i was scared when i walked home last night,i was scared when i walked home last night
afraid,132,I had a bad nightmare last night.,I keep having these really weird nightmares at night.
afraid,133,I am not sure I am brave enough to walk alone at night anymore.,Recently there have been a few break ins.
afraid,134,A couple months ago I got a text message saying that my sister was in a motorcycle accident! I was really scared she might have been seriously injured!,A couple months ago I got a text message saying that my sister was in a motorcycle accident! I was really scared she might have been seriously injured!
afraid,135,I am really worried that I will miss my flight tomorrow.,I am really worried that I will miss my flight tomorrow.
afraid,136,i used to scare for darkness,it feels like hitting to blank wall when i see the darkness
afraid,137,I am scared of the police.,I am scared of the police.
afraid,138,I have a huge phobia of roaches. I can handle almost any kind of crawling or flying bug except them.,I can handle_comma_ bees_comma_ scorpions_comma_ wasps_comma_ crickets_comma_ and spiders. But for some reason I lose my mind around roaches.
afraid,139,One time I heard a large knock on my door while I was sleeping,One time I heard a large knock on my door while I was sleeping
afraid,140,I was so scared to go to sleep at night. I thought monsters lived under my bed.,I was so scared to go to sleep at night as a little kid. I always thought monsters lived under my bed.
afraid,141,i was worried when I heard my friend was in the hospital,i was worried when I heard my friend was in the hospital
afraid,142,Some movies can be terrifying,Movies about vampires terrifies me a lot
afraid,143,I got new neighbors and I don't think they are too nice. I don't want to speak to them,I don't think my new neighbors are nice people
afraid,144,I keep hearing noises coming from the basement. I want to go check it out_comma_ but I'm somewhat afraid.,I keep hearing noises coming from my basement...
afraid,145,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,I am not in the best city and walking around the other night for a nice walk- someone kept following me.
afraid,146,I'm afraid of my new apartment complex_comma_ a lot of sketchy people out at all hours of the day.,I'm afraid of my new apartment complex_comma_ a lot of sketchy people out at all hours of the day.
afraid,147,I think that I was abducted by aliens. I'm afried I have alien spawn inside me.,One night_comma_ I was abducted by aliens. They probed me and I'm afriad they will come back.
afraid,148,I am scared of horror movies_comma_ I never could tolerate them,I am scared of horror movies_comma_ I never could tolerate them
afraid,149,I was so scared to sleep at night when I was a kid. I thought there were monsters under the bed.,I was always so afraid to go to sleep when I was a little kid...Always thought there were spooky monsters under the bed.
afraid,150,I do not like being in small spaces.,I do not like being in small spaces.
afraid,151,I felt afraid when I was in a car accident. I was rear ended and my car was totaled.,Recently_comma_ I was rear ended at a stop light. The car was probably going 40 mph. Completely totaled my vehicle.
afraid,152,Our home was broken in to 2 months after we purchased it.,Have you ever been a victim of a home break in?
afraid,153,Afraid of my dog dying,My dog is 6 years old. He's my little boy. I don't know what I would do if I lost him.
afraid,154,I had to live in a haunted house for a month,Hi_comma_ I lost a bet with friend and had to live in a haunted house for a month!
afraid,155,There were 3 HUGE spiders in my house yesterday! I had to kill the first one_comma_ and then my husband killed the second and then when he was spraying (because I made him) he found a third!,There were 3 HUGE spiders in my house yesterday! I had to kill the first one_comma_ and then my husband killed the second and then when he was spraying (because I made him) he found a third!
afraid,156,There's this tree outside of my apartment_comma_ and the way it's illuminated it looks like the silouette of a person_comma_ which startles me sometimes.,There's this tree outside of my apartment bedroom window_comma_ and sometimes when the wind blows just right_comma_ it taps against the window and startles me.
afraid,157,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.,I need an extension on my rent this month.
afraid,158,My husband went out of town for a few days for work. Every sound I hear makes my hair stand up on end_comma_ I may not survive this trip.,My husband went out of town for a few days. Every sound I hear makes my hair stand up on end!
afraid,159,One time there was a homeless guy running towards my car,One time there was a homeless guy running towards my car
afraid,160,1,I told my frend something personal and she was so judgemental towards me
afraid,161,Due to recent debt that I have accumulated through credit cards_comma_ my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness,Recent debt accumulation had my credit score see a significant decline. I am afraid it would hurt my chances of applying for a new credit card
afraid,162,Tomorrow_comma_ I have surgery. I am so afraid of it.,Tomorrow_comma_ I am having a surgery. I am so afraid of it.
afraid,163,I hate wasps so much. They always seem to get into my apartment somehow and I turned into a little girl!,I hate wasps so much. They always seem to get into my apartment somehow and I turned into a little girl!
afraid,164,I keep hearing noises outside my window. It sounds like scratching.,Or a cat maybe? Maybe you should look into installing those motion flood lights or something so that you feel safer when you are home alone.
afraid,165,I am afraid of who will move in next door to me.,I am sfraid of who will move in next door to me.
afraid,166,I get off work late at night. It's really scary walking home in the dark.,I get off work at night and I have to walk through a lot of dark streets to get home. I'm always scared I'm going to get attacked.
afraid,167,the first time i got on the rattler,I remember the first time i got in the rattler roller coaster in san antonio _comma_ my anxiety was through the roof
afraid,168,One time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. I got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.,Me and some friends went to the movies one time and one of them started to panic in the theater. It really scared me until I realized why.
afraid,169,abilities what they can cause,i am so scared... what if ...
afraid,170,i was scared walking home alone,i was scared walking home alone
afraid,171,I heard a noise im my garage and was concerned since it was late at night,So last night im in bed it was aorund 3 AM and i hear a crash in my garage
afraid,172,I don't think I could ever go outside when it is dark ever again.,I don't think I will go outside in the dark ever again.
afraid,173,I get scared walking around my neighborhood. I dont unless I really have to,I dont live in a nice neighborhood. It wasnt like this when I moved here
afraid,174,"I used to live in what other people called a ""haunted house."" I would hear all sorts of sounds at night_comma_ and sometimes see shadowy figures in the dark.",When I was younger I slept in the attic of what everyone thought was a haunted house. There'd be shadowy spectres and sounds all night every night.
afraid,175,Last week_comma_ I got pulled over for speeding. I was in a hurry to get to work.,Last week driving to work_comma_ I got pulled over for speeding.
afraid,176,I was very scared when flying for the first time.,I was very scared when flying for the first time
afraid,177,When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,I was chased by a pitbull as a child_comma_ I was so scared for years afterwards
afraid,178,I saw a spider running across my desk and screamed,Yesterday_comma_ I saw a spider run across my desk and I scream so loud.
afraid,179,i have to take a business trip next week_comma_ I 'm not looking forward to flying,coincidence_comma_ I too I'm taking a trip but a business one_comma_ I 'm not looking forward to flying
afraid,180,One time someone came to my door with a gun. He wanted money but I didn't have any so he stole some items from the house,Someone came to my door with a gun the other day.
afraid,181,I am scared Carson Wentz will never be the same after his injury_comma_ it was brutal,I am scared Carson Wentz will never be the same after his injury_comma_ it was brutal
afraid,182,I am very scared of the ocean.,I hate the ocean. I am very scared.
afraid,183,We went camping in the mountain. We did not know it was bear season. There were a lot of hunters and hunting dogs in the area. They were chasing the bears into one area.,We went camping in the mountain. We did not know it was bear season. There were a lot of hunters and hunting dogs in the area. They were chasing the bears into one area
afraid,184,The other day I found an iguana in my backyard. I hate iguanas!,The other day I found an iguana in my backyard.... I hate iguanas! it was horrinle
afraid,185,The moment I decided to drop out of University_comma_ I had no idea what to do. Thinking about calling my parents and telling them was the most fear enducing madness I'd ever had to endure. Everything felt cloudy and shaky.,Hello there. How are you feeling today?
afraid,186,Roller coaster riding next week,Next week is going to be freaky!
afraid,187,i was scared walking home the other night,i was scared walking home the other night
afraid,188,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.
afraid,189,My daughter screamed because there was a humongous spider on the kitchen floor. It turned out to be a pretty small one.,"I was eating breakfast when my daughter screamed_comma_ ""There a humongous spider behind you!"""
afraid,190,i was scared to walk home last night,i was scared to walk home last night
afraid,191,I did not want to go on the rollercoaster,I really did not want to go on the rollercoaster. It looked so fast and scary
afraid,192,When a tornado warning came on the screen_comma_ I was scared. I thought it was coming for us,I was scared when we had a tornado warning. I thought it was coming straight for us
afraid,193,I was worried about driving home tonight. A lot of people were swerving,I was worried driving home tonight. People were swerving all over
afraid,194,We had some storming last weekend. It was pretty scary,We had some storming last weekend. It was pretty scary
afraid,195,This afternoon our neighbors dog got loose and he is very aggressive. The kids were outside playing in the yard. I didn't know what to do! My heart was racing..,A dog in our neighborhood got loose earlier while the kids were playing in the front yard. He is very aggressive and I could just imagine being at the hospital later.
afraid,196,One time I saw a ghost in my living room. I was absolutely terrified.,I once saw a ghost in my living room!
afraid,197,Someone got shot near my house the other day. I am terrified now and want to move.,Someone got shot near my house the other day. I am terrified now and want to move.
afraid,198,I am cooking dinner for my boyfriend tomorrow for the first time,I am cooking for my boyfriend tomorrow.
afraid,199,I was pretty terrified when a tornado watch was issued. I was real worried,I was real scared when a tornado watch was issued. It just worried me
angry,0,I get so upset when someone does not agree with what I am doing. I am a grown women and feel I can make good choices for myself.,I get so upset when someone does not agree with what I am doing. I am a grown women and feel I can make good choices for myself.
angry,1,I was at the grocery store the other day_comma_ and when I was walking through the isle and some kid brushed past me and almost knocked me over! I was so mad,I was at the grocery store the other day_comma_ and when I was walking through the isle and some kid brushed past me and almost knocked me over! I was so mad
angry,2,I get so angry when I lose any game.,I get feel so irate when I lose any form of game.
angry,3,I'm so mad_comma_ I was supposed to go out with some friends tonight. But suddenly everyone is busy now_comma_ so im just home alone,I wish that when people say they are going to do something or make a promise_comma_ that they would stick to it.
angry,4,anger: no confidence to speak to girls until age 22,I had no confidence and didn't have a girlfriend until age 22. I carried a lot of hatred towards girls because of this
angry,5,I need a root canal.,I recently found out I need a root canal
angry,6,I was cut off this morning on the way to work. It caused me to crash into the ditch. I am so mad.,I was cut off this morning on the way to work. It caused me to crash into the ditch. I am so mad.
angry,7,I am so mad! I took my car in to the dealership for an oil change and find out I need new brakes! They want to charge me $800 for just the rear brakes!,I am so mad! I took my car in to the dealership for an oil change and find out I need new brakes! They want to charge me $800 for just the rear brakes!
angry,8,My neighbors dogs keep barking_comma_ and my daughter is asleep. I'm afraid they are going to wake her up!,My neighbors dog are barking so loud and my daughter is asleep!
angry,9,My friend took my car without permission a few days ago. Literally...without even asking me!,My former 'friend' took my car for a day or two without even telling me!
angry,10,My boss embarrassed me infront of the investors.,My boss embarrassed me infront of the investors the other day.
angry,11,i let someone out in front of me today and they didnt wave or anything,someone was waiting to pull out in traffic_comma_ i let them out and didnt even get acknowledged
angry,12,i saw a man kicking his dog the otherday,saw a man kicking his dog because it was peeing on a car tire
angry,13,My mother in law always lies and exaggerates everything. It's very frustrating and causes fights between us.,My mother in law always lies and exaggerates things. Sometimes the same story is told two different ways to both my husband and I.
angry,14,My parents keep taking my money,My parents keep taking my money
angry,15,I was in a drive-thru line and someone cut in front of some other people. I confronted the guy about it and he basically told me to take a hike. I was furious and blew up at him. Finally he left the line but he flipped me off when he did.,I almost got in a fight in a drive-thru lineup.
