context,prompt
afraid,"One night, I was just done reading some really scary stories and my door suddenly opened on its own. Upon closer inspection it was my cat opening it since it wasn't completely closed."
afraid,I was watching my dad's house last week and I heard some odd noises while I was there alone.
afraid,I am afraid of who will move in next door to me.
afraid,I had to work late the other night and had to walk out to my car alone. It was very dark outside.
afraid,I was so scared but I went skydiving! It was a great experience and I'm so glad I was able to overcome my fears.
afraid,"i was driving along a lonely street,however i've heard that some notorious hoodlums hang out there"
afraid,i was scared the other night when i had to walk home alone
afraid,I am going to my first haunted house this October! I don't know why I feel so scarred!
afraid,Our youngest daughter fell down our back stairs and hit her head on the bottom step. She started throwing up about an hour later and we went to the ER.
afraid,"I don't know what that thing is, but it has way too many legs for my comfort."
afraid,We had a storm last night and lost power. I couldn't find a flashlight. It was so scary.
afraid,I had to investigate a noise coming from my backyard at night.
afraid,I have a presentation to do at work tomorrow and I'm not prepared. I hope I don't mess up.
afraid,When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age
afraid,I am scared of another hurricane coming through Florida. I had a bad experience last year.
afraid,My husband wants to go parasailing together when we go to Mexico next month.
afraid,Lately I hav been hearing some big monkeys howling up in the mountain. I hope they don't come down near my house.
afraid,Standing in front of the judge for the first time and him telling me i am going to prison for years. that is scary.
afraid,A group of students at the university are extorting money from me. I am too afraid to go back to the university.
afraid,My friend got into accident last month. His leg might be removed!!
afraid,I was really scared once when I thought I would be homeless
afraid,"I was watching going down youtube rabbit-hole last week when I stumbled on this dark web stuff. There was a video about how you could contact hitmen. Eventually it lead to the guy who made the video meeting a supposed real hitman and it was a weird experience. The guy was very sketchy to say the least. I wouldn't be surprised if it was fake, but the possibility of people out there like kept me up that night."
afraid,"I was in a situation where I was standing outside with a group of friends. Out of nowhere, gang members showed up and pointed a gun at us. This was alarming to say the least."
afraid,I don't like the dark. I am worried about something bad happening.
afraid,Today when I was walking home from the park a pit bull was chasing me. I was scared for my life.
afraid,I am afraid of the upcoming economic crisis in the USA
afraid,I am scared to ask my landlord for an extension on the rent this month. She isnt tht nice.
afraid,"A squad car cut in to my lane head on the other day and I had nowhere to go, I was on a small crossbridge and he would not slow down at all. I could see that he was looking at the seat next to him and not straight ahead so I threw my car in reverse and hauled it."
afraid,I was afraid when I went into the movies alone
afraid,I sat on the worlds scariest rollercoaster.
afraid,I got pulled over and almost got a ticket.
afraid,We had some storming last weekend. It was pretty scary
afraid,I was watching a horror movie all by myself one night. It was really scarey
afraid,I used to be scared of sparring in the ring because guys 3 times my size would usually kick the crap out of me.
afraid,I think my new neighbor is creepy. I want to move.
afraid,"One of the neighbors has a white husky dog. I was walking one day and it approached me and started growling, i thought it was going to bite me."
afraid,I have to go to court and I was didnt follow through with what I told the judge
afraid,Riding coasters next week :/
afraid,I've been worried about money a lot lately.
afraid,A person tried to break into a store I was working at to rob it. They didn't get in but it was highly stressful.
afraid,"Anytime I see a earthworm, I run away. I am so scared of them."
afraid,Driving always scares me. I've seen some pretty bad car accidents with fatal injuries on the internet and it always crosses my mind while driving.
afraid,My brother is getting out of jail next week. I'm afraid that he knows that I'm the one that turned him in...
afraid,"My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now"
afraid,"I had to go to the doctor recently to get my foot looked at, always makes me scared going there."
afraid,I am going to rock climbing for the first time this weekend and I do not like heights
afraid,There might be a hurricane in my area soon. I am worried our house may flood and we may be without power for awhile.
afraid,I am old. I am seperated from my wife. I live far from my children. For pragmatoic reasons I am the one that can file for divorce. I do not want to die alone.
afraid,I was nervous when it was raining real bad last night. I hate storms
afraid,I was so scared to go to sleep at night. I thought monsters lived under my bed.
afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.
afraid,"The way interest rates are these days, i'm so scared to go get a car loan"
afraid,While working at a restaurant I was robbed
afraid,I was traveling internationally literally the day after a high level travel alert was issued for the region I was going.
afraid,One time there was a homeless guy running towards my car
afraid,I was on vacation and I saw a ghost at a hotel. I couldnt fall asleep the whole night. It was so scary
afraid,At a haunted house we explored. It was very spooky.
afraid,when it was dark in my house and something made a noise in the kitchen
afraid,"I am afraid of growing up, I am just now an ""adult"" but not ready to fend for myself yet"
afraid,when my daughter choked on a piece of food
afraid,I was deep in sleep last night and I heard this loud bang on the side of my house and woke right up wondering what was going on.
afraid,"I was so scared when my car spun out of control in the snow, I had never been in that situation before"
afraid,I felt afraid walking through a shady part of town.
afraid,I changed my transmission fluid today. Hope I did the right thing
afraid,The doctor told me my blood pressure is too high. I'm scared I may have a stroke.
afraid,I was scared over the weekend. All it did was rain and storm
afraid,I kept hearing odd sounds at night... I think there is a racoon in the attic!
afraid,I had a bad nightmare last night.
afraid,I haven't heard from my friend in 3 days. His family doesn't know where he is.
afraid,My friend hasnt been feeling well lately.
afraid,i was scared walking home alone
afraid,I was home alone the other night and I heard a loud crash in the other room. It turned out to just be the dog ran into a shelf and knocked something down but it was scary.
afraid,When I was a child I was in a tornado.
afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.
afraid,I was afraid when my dad used to scare me and my brothers
afraid,I am afraid that the Russians are going to take over the USA.
afraid,I was so frightened when it was thundering last night the loud sounds seemed like my house was shaking.
afraid,I am feeling all creeped out. Been watching crime shows all afternoon.
afraid,I rode on an airplane last week and there was so much turbulence! I was so on the edge!
afraid,A thunderstorm raged all of last night! It kept me awake all night!
afraid,I went out to get the mail and there was a snake right up against the house. I was freaked out.
afraid,I had been looking a pictures of car crashes. Now I am afraid to drive anywhere. Seriously I can hardly go anywhere a car might be.
afraid,3
afraid,I heard a noise downstairs in my kitchen. I am home alone and i am scared to go see what it was
afraid,I'm going to be across the ocean from my girlfriend for school.
afraid,Last week there was a large spider on my wall.
afraid,I was scared driving home last night. I felt like a car was following me
afraid,I had real fear when a tornado was close to my home. I thought we might die
afraid,"I heard this strange crash noise in the garage. I thought it might have been an intruder, but it was a raccoon!"
afraid,It is so dark in my house. I keep hearing creepy noises.
afraid,"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision."
afraid,"Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class, or I don't know what I'll do."
afraid,I am really worried that I will miss my flight tomorrow.
afraid,I watched a scary movie with my boyfriend. Ever since then I have not been able to sleep.
afraid,i'm scared of people who speed
afraid,Our home was broken into shortly after we moved in. We are still cautious today.
afraid,I am terrified of clows
afraid,I think my car has quit for good now. I am scared about how tough it is going to be for me now
afraid,when my daughter was born
afraid,i was robbed
afraid,"Got into a small car accident the other day. Everybody was fine, both drivers and passengers. It was totally my fault though.. and now I'm worried about the insurance rates afterwards. I'm a college student, and can't afford much more"
afraid,I love to hear the rain falling but seeing the lighting and hearing the thunder makes me shudder.
afraid,I watched a scary movie the other day while i was at home alone.
afraid,My hamster got out of its cage and I haven't been able to find him. I hope he's ok and hasn't gotten hurt
afraid,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.
afraid,There was once a mouse in my kitchen. I almost died.
afraid,"I'm not a big fan of water, like oceans, lakes, or rivers. Recently my husband's family invited us for a weekend at their cabin which is on a lake. They have a pontoon so I thought we'd just fish and hang out. My husband made me get in the water. I was so terrified something was going to eat me."
afraid,I was very worried the they told me I needed heart surgery.
afraid,"While i was sleeping the other night, my house alarm off. it was scary"
afraid,I saw a creepy looking clown peering at me through the window. I almost jumped out of my skin. I ran into my basement and hid in a closet.
afraid,I watch so many scary movies that I haven't been able to sleep alone in years due to fear.
afraid,"A big wind storm blew through my town and knocked over trees. I looked outside and saw one of the trees in my yard was uprooted. I worried that at any moment I'd hear the crash of a tree or branch on my room, or the sound of breaking glass."
afraid,I am not sure I am brave enough to walk alone at night anymore.
afraid,"I had to get my foot checked out at the doctor, always makes me scared going there."
afraid,I have been having horrible stomach pains and have followed everything my doctor said to do but nothing is helping. I am worried that something is horribly wrong!
afraid,I was afraid when I saw that horror film in the theater
afraid,Ok.. I was driving across S. Dakota last summer at night. Its super dark and you can see all the stars. Then my car broke down.
afraid,I'm scared a tornado will come in and destroy my city
afraid,I am worried I won't have money for rent. I am scrambling to try.
afraid,When my house burned down in middle school. It was in the middle of the night.
afraid,I have a meeting at work tomorrow that I'm suppose to give a speech at and I'm a bit nervous.
afraid,We were under a significant storm warning. The sky turned dark and the wind began to blow harder.
afraid,Someone got shot near my house the other day. I am terrified now and want to move.
afraid,"There is an abandoned school an hour drive from my house. It is said to be haunted. A group of friends and I decided it would be fun to go check it out. Once we arrived, I was so scared that I could not even get out of the car!"
afraid,"Tomorrow, I have surgery. I am so afraid of it."
afraid,When I got in to a car accident and injured my arm. The car was on fire.
afraid,I am scared these days.
afraid,Our home was broken into right after we moved in and I felt this way.
afraid,"Have to do a long road trip tomorrow to visit an ailing family member, but the scary part is it's set to be thunderstorming for a big stretch of the drive. I've never done well driving in the rain"
afraid,My fiance found a snake in our yard the other day! It was terrifying!
afraid,I was so scared to sleep when I was a little kid. I thought there were monsters in the closet.
afraid,I am going on a flight for the first time in a couple weeks. I am really scared for some reason!
afraid,i was scared to walk home last night
afraid,I really get nervous when I have to drive.
afraid,I think a mouse is in my kitchen again.
afraid,I was at a scary maze and one of the people there actually scared me! It was super funny afterwords
afraid,I am worried my cancer may return.
afraid,i hate when my friend speeds down the interstate for no reason whatsoever
afraid,I was scared last week when it stormed. I hate rain and thunder
afraid,I'm scared I'll never get married and settle down
afraid,My son came home on his birthday really drunk. I thought he was going to go to jail. He kept trying to walk down the street and fight my other kids. We had to call the police to calm him down. He went to sleep after that.
afraid,There is a wasp nest in my hallway outside of my apartment. I have to use the back door now.
afraid,someone breaking in
afraid,We went camping in the mountain. We did not know it was bear season. There were a lot of hunters and hunting dogs in the area. They were chasing the bears into one area.
afraid,I just went to a late night showing of insidious. I almost wet myself from the shock at certain parts.
afraid,i was scared when i walked home last night
afraid,I was always afraid to go to sleep when I was a kid. Thought monsters were under the bed.
afraid,"It's really stormy right now. I keep glancing outside my window, hoping it doesn't get worse. I sure wouldn't like to see a tornado."
afraid,There's 2 escaped convicts loose in my town! They were last seen in my neighborhood!
afraid,A man was following me home last night. I had to walk really fast to avoid him catching up.
afraid,When my house burned down in junior high. I had to rescue my parents.
afraid,"I watched a horror movie last night. I was so scared, I nearly cried."
afraid,Last week my dog got really sick.
afraid,i was scared to walk home yesterday
afraid,I am home alone this weekend. I do not like that. It gets too quiet.
afraid,I was pretty scared when it stormed last night. I do not like storms
afraid,One time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. I got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.
afraid,I was cleaning the yard and uncovered a huge nest of black widow spiders!
afraid,There were really loud storms last night. I have never liked thunderstorms and I thought my windows would break.
afraid,I was playing a VR game home alone. It took a really creepy turn.
afraid,I am scared of the police.
afraid,i cant wait for monday!
afraid,"MY daughter keeps begging me to watch IT. I am going to tomorrow, with all of the lights on."
afraid,I remember one time I went somewhere with a friend while they were driving. They were weaving in and out of traffic while texting on their cell phone and messing with the radio all at the same time. I wanted out of that car.
afraid,"I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house,"
afraid,I went outside my house yesterday and there was a big snake in the driveway!
afraid,I have to go to court for a speeding ticket and i am worried and nervous over the whole ordeal.
afraid,"My cat hasn't been feeling well this past week, I think there might be something really wrong."
afraid,My daughter passed out one day last week.
afraid,I saw a scary movie last night. I was so frightened by it!
afraid,i used to scare for darkness
afraid,I felt afraid when I was in a car accident. I was rear ended and my car was totaled.
afraid,"I'm never home by myself, but a few weeks ago I was. There were these men running up and down the street in our neighborhood just screaming and yelling. Turns out it was some sort of domestic issue and the police came and arrested them."
afraid,"When my son was born, I was pretty worried. We knew that something wasn't quite right, so we weren't sure what to expect."
afraid,i am concerned about my father
afraid,I was so scared to sleep at night when I was a kid. I thought there were monsters under the bed.
afraid,I felt scared when I had to go to the doctor to have a lump checked out on my side. I thought it was going to be for the worse.
afraid,On Halloween I was nervous to go out at night. I was scared people were going to kidnap me
afraid,I have kids aged from 14-21. I am always worrying that something bad will happen to them. I couldn't live with myself if something did. I love them so much!
afraid,once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .
afraid,I was so scared when i went to watch the new conjuring movie in the theatres at night. The movie was terrifying.
afraid,It might storm tonight. I am a little scared to be honest
afraid,I think my boyfriend is cheating on me
afraid,My cat was acting weird earlier. It was starting to scare me
afraid,When my house burned down in the 8th grade
afraid,Before my final exam on of the semester. I needed a 90% to pass.
afraid,I worked one job where I was always the last person to leave the building. I hated going into the empty parking lot by myself.
afraid,I am concerned about the financial situation of my employer.
afraid,"Last year, someone was kicking on our front door late at night. I looked out the window apprehensively to see it was my cousin. She was drunk and had knocked but we hadn't answered."
afraid,i was scared walking home alone the other night
afraid,I left my room at night and a bat flew at me.
afraid,There's a hard bump on my arm. I don't know what it is.
afraid,I get off work late at night. It's really scary walking home in the dark.
afraid,I was so scared of my uncle. He is so mad at me for not graduating.
afraid,i was scared walking home last night
afraid,Being alone in a foreign country.
afraid,My friends want me to scuba diving with them. I really don't want to because I worry about sharks and other creatures.
afraid,I keep hearing noises outside my window. It sounds like scratching.
afraid,"Though I'm confident in my mental and physical resources I fear the worst for most people in my generation sometimes...especially in a hypothetical World War 3 scenario, or some type of global calamity occurring...every soft little punk wussy Millenial would just go to pieces"
afraid,I was terrified to walk home from the bar one night. There were gunshots nearby
afraid,I went to a haunted house and just couldnt bring myself to step inside
afraid,"I did not have a car for a few years and just recently bought a new one. I was scared to drive at first, especially on the highways around here. People drive like crazy people and didn't want to get in another accident. I am getting used to it now though."
afraid,I am afraid of flying cockroaches
afraid,"it's monsoon season here where i live and I can hear the thunder rumbling, I hope we don't get flooded. I'm pretty scared."
afraid,I saw a spider running across my desk and screamed
afraid,I have to have suregery soon. I am scared
afraid,My brother is in the hospital and is very sick. I am very scared
afraid,I do not like being around bats.
afraid,"I used to get terrible nightmares, it made me have trouble sleeping."
afraid,"I missed my purse in bus. I'm not sure how i will go home, its late at home"
afraid,"During a storm in the middle of nowhere, my car broke down. I didn't have cell reception and was stuck on the side of the road in a really bad storm by myself for a few hours"
afraid,My exam results are coming back tomorrow and I am scared to look at them.
afraid,I am afraid of clowns.
afraid,I think I'm going to get evicted.
afraid,"When I was a kid, I got chased down the street by our neighbor's dog. The school bus showed up just in time and the driver helped me."
afraid,I was home alone and someone was in the carport looking in a window
afraid,I had to live in a haunted house for a month
afraid,"I have to go rock climbing with some friends. I have practiced climbing indoors, but have never done a big climb outside so who knows how it will go."
afraid,I have a doctors appointment tomorrow. I am afraid of what they might say.
afraid,I thought I saw a ghost in my house last night.
afraid,I was camping last weekend in a tent and I heard some animal walking outside our night one night. When I woke up we seen these large footprints that were nothing like any animal we've seen before.
afraid,"Last night, I dreamt that I was riding around the road on a motorcycle, and at one point almost fell of making a quick sharp turn."
afraid,i am so scared i want to finish all the book today and i may not be able to finish it
afraid,My neighbor is a drug addict. I hear him talking alone and I see him having weird behavior.
afraid,I didn't prepare for my exam yet. I anxious about my tomorrow's exam.
afraid,"I have been diagnosed with psoriatic arthritis and the pain is horrible. The problem is, the medicine that my doctor wants me to take has side effects that are worse than the pain, so I don't want to take them. That means I have to suffer through the pain."
afraid,Recently my husband and I were traveling home from visiting his family when all of a sudden this car cut us off. We had to slam on our brakes not to hit them. It was so scary!
afraid,We went to see The Meg yesterday. Now I'm terrified of the ocean again. Way to go LOL!
afraid,Alone while family was at a party when someone rammed a quad into the garage.
afraid,"A while ago, I was riding in the car with my uncle at night to get some food. He had a few drinks earlier and we ended up getting pulled over."
afraid,Roller coaster riding next week
afraid,"I am sort of scared of growing up, it can be daunting"
afraid,Afraid of my dog dying
afraid,I was very scared when flying for the first time.
afraid,I'm going skydiving in a few days. I've never been before so I'm quite nervous about it
afraid,"My nephew was racing around our house, and fell head first into the corner of a bookcase. There was a ton of blood and I had to take him to the ER. Luckily, it was better than it looked and it wasn't a huge deal."
afraid,"My friend's eyes keep hurting at night. She's been to the doctor, but they can't find anything wrong with her."
afraid,I got stuck in an elevator recently. I was so scared that I would die in there.
afraid,My dog has to go stay at the doggie daycare for a couple of days so I can go to a wedding. Im scared that she will think I am leaving her there and never coming back and I dont want her to feel that way.
angry,When I was listening to music at the gym
angry,Someone broke my window with a soccer ball.
angry,i was pissed when i was told i couldnt leave work on time
angry,My dog decided to pee on my bed when I wasn't home. I just cleaned it too!
angry,My nephew told me once of something really stupid that he would do if the situation arose.
angry,These people at work are so disrespectful and racist!!
angry,I went out to my car one morning to go to work. Some kids in the condo complex had thrown food all over the top of my car.
