context,prompt,first_utterance
afraid,We had a huge black snake in our backyard today and couldn't catch it. Now I am looking all over the place whenever I go outside. Waiting for it to shock me.,We had a huge black snake in our backyard today and couldn't catch it. Now I am looking all over the place whenever I go outside. Waiting for it to shock me.
afraid,I was lucky enough to get an opportunity to volunteer for one of my favorite companies at a convention. I was so scared of doing something wrong or looking like a fool but eventually I gained confidence and did well.,I was lucky enough to get an opportunity to volunteer for one of my favorite companies at a convention.
afraid,I kept hearing odd sounds all night... it turned out to be a racoon in the attic,I kept hearing odd sounds all night... it turned out to be a racoon in the attic
afraid,When my mom was in the ER,"Last week my mom was in the ER, it was a horrible feeling"
afraid,I saw a spider and i got scared.,I saw a spider and i got scared
afraid,"I used to live in what other people called a ""haunted house."" I would hear all sorts of sounds at night, and sometimes see shadowy figures in the dark.",When I was younger I slept in the attic of what everyone thought was a haunted house. There'd be shadowy spectres and sounds all night every night.
afraid,I thought my company was going to have a lay off. it was a tough few weeks.,So we had a meeting at work this week. Turns out we may have to shut down in the next few months.
afraid,When I was laying in my bed last night I heard some footsteps walking down the hall. I live alone and was very frightened.,I was laying in my bed last night and I heard footsteps walking down the hall. I was frightened because I live alone.
afraid,"A man punched me on the subway last week, now I'm terrified to leave my house.","A man punched me on the subway last week, now I'm terrified to leave my house."
afraid,I went in a haunted house for halloween. Saw some weird ghosts.,Haunted houses really give me the creeps.
afraid,I am not able to pay for my mortgage. I think i will loose my home,I am not able to pay for my mortgage. I think i will lose my home
afraid,The other day I found an iguana in my backyard. I hate iguanas!,The other day I found an iguana in my backyard.... I hate iguanas! it was horrinle
afraid,birth of my first child,i was a nervous wreck when my son was born!
afraid,Me and my husband watched the new scary movie IT and I was kind of frightened.,I'm not one to like scary movies that much only with my husband since he loves them so much.
afraid,I was afraid when I watched a horror film,I was afraid when I watched a horror film
afraid,I was out on a walk tonight and I thought I saw an alligator in the grass by me. I thought i was going to get eaten,"Wow, I thought I was going to be gator food tonight"
afraid,Roller coasters next weekend,I'm sort of scared for this upcoming weeked :/
afraid,"The other day I was driving to a street when I heart a explosion and when I checked it was some electric pole that had fallen and I didn't know is something was going to explode since there was a lot of sparks and things. I tried to pass as fast as I could but then didn't know if people living around have noticed or where in danger, until someone came out and I saw she was calling to report it.",The other day I was driving to a street when I heart a explosion.
afraid,I was out walking late last night and seen someone following me. They looked like they were carrying a weapon.,I was walking last night and someone started to follow me.
afraid,"I was home alone and heard what sounded like scratching underneath the floor. I was worried an animal was under the house, and that it might be able to get into the house, and that it might be something dangerous.",I thought I heard an animal trapped under my house last night.
afraid,I was afraid when I got out of the movie theater,I was afraid when I got out of the movie theater
afraid,"i am really scared of spiders i cant stand them, i think it is my worst fear",Spiders is one of my gratest fear they make me so scared
afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,I am not in the best city and walking around the other night for a nice walk- someone kept following me.
afraid,I was so scared to go to sleep when I was a kid. I thought the monsters under the bed were going to nab me.,I was so scared going to sleep when I was a kid. I thought the monsters under the bed were going to nab me!
afraid,i have a doctor's appointment and i'm so scared,i have a doctor's appointment and i'm so scared
afraid,I hit my head on the door corner and it left me with a wound. I feel it will scar,I hit my head on the door's corner and it left me with a wound
afraid,I heard noises in the night.,I woke last night with noises at the window.
afraid,"Last week, I got pulled over for speeding. I was in a hurry to get to work.","Last week driving to work, I got pulled over for speeding."
afraid,The other night when I was taking my dog out to go to the bathroom really late. I heard some rustling in the bushes and panicked.,The other night when I was taking my dog out to go to the bathroom really late. I heard some rustling in the bushes and panicked.
afraid,I feel scared of the future because it's so uncertain. I feel like I always have a lot to lose.,Do you ever feel afraid?
afraid,I woke up in the night smelling something burning,I woke up in the night last night smelling an electrical burning sound!
afraid,I was pretty shaken up when my son didn't get home on time and I couldn't reach him,I was pretty shaken up when my son didn't get home on time and I couldn't reach him
afraid,I've been hearing some strange sounds around the house at night lately.,I've been hearing some strange sounds around the house at night lately.
afraid,I finally saw the movie with that scary Japanese girl with white skin. I now believe I can't sleep without the lights on lol.,I finally saw that one scary movie my friends were talking about. I can't sleep without the lights on.
afraid,I don't think I could ever go outside when it is dark ever again.,I don't think I will go outside in the dark ever again.
afraid,"Yesterday I found a massive spider in my room. As much as I hate killing insects, I tried killing it and it ran away. I don't know where it went and I'm a little scared.",Yesterday I found a massive spider in my room.
afraid,I was really scared when I walked to my car after the movie,I was really scared when I walked to my car after the movie
afraid,I ma very anxious about the country these days.,I am very anxious about the country these days
afraid,my feelings might hurt me in the future,"i am nervous and scared of my feelings, i feel like in the future they will hurt me"
afraid,I felt scared on a plane ride. I was traveling by myself.,I was traveling on a plane by myself and I felt kind of scared.
afraid,finance,"money is such a weird thing, still don't agree with this ideology but it is the way things have been inherited since the start, i just wish it wasn't so controlling, i am worried about my future income"
afraid,I was at the movies the other day and this movie freaked me out.,I saw the freaking most horrible film the other day.
afraid,About 6 years ago I was diagnosed with cancer.,About 6 years ago I was diagnosed with cancer.
afraid,When I was younger I used to be scared to go into the basement. After I saw the home alone movies,Did you ever see the movie Home Alone? The movie scared me as a child
afraid,One time someone came to my door with a gun. He wanted money but I didn't have any so he stole some items from the house,Someone came to my door with a gun the other day.
afraid,I am scared of zombies,I have a reoccurring nightmare that I am being eaten by zombies
afraid,One time I was robbed at gun point.,Once I was robbed at gun point and locked in a walk in refrigerator for an hour.
afraid,I heard a banging on my window at 3AM last night. I was terrified on what it was but it turned out to be a tree branch.,I heard a banging on my window at 3AM last night. I was terrified on what it was but it turned out to be a tree branch.
afraid,I was expecting some doctor's results this week. I am really nervous about it.,I am expecting a call from the doctor any day now. I am super nervous about it.
afraid,Just watched season 2 of Luther last night on Netflix. Keeps you on the edge of your seat.,I finished season 2 of Luther on Netflix last night.
afraid,I changed my shift to overnight and I get so scared walking to my car since we have a huge parking lot.,I changed my shift to overnight and walking to my care gave me the creeps tonight. There was a man standing in the dark.
afraid,there was a giant spider in my house the other day. I was terrified.,here was a giant spider in my house the other day. I was terrified
afraid,I was always afraid of going to sleep as a kid. I was afraid that bigfoot was going to skin me alive.,I was always afraid of going to sleep as a kid. Thought I would wake up with bigfoot skinning me alive.
afraid,I heard a really loud bang in the middle of the night. the next morning I found out that it was gun shots. OMG,I heard a really loud bang in the middle of the night. the next morning I found out that it was gun shots. OMG
afraid,One time i got stuck in a storm and was scared i might get swept away,"i almost got swept away in a storm last year, was scary stuff"
afraid,I'm taking the drivers test for my license monday. I am so nervous.,I am taking the drivers test on Monday.
afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,I just finished watching a series on netflix and now I am afraid to go outside alone in the dark.
afraid,I invested in cryptocurrency last year but the market is looking pretty bad.,I invested some of my money in the crypto market last year. The market looks terrible right now and I'm afraid I'll lose my money!
afraid,I overdrafted my bank account.,I accidentally overdrafted my bank account and now don't have enough money to pay the fee or my bills. I'm scared of what could happen
afraid,"There were 3 HUGE spiders in my house yesterday! I had to kill the first one, and then my husband killed the second and then when he was spraying (because I made him) he found a third!","There were 3 HUGE spiders in my house yesterday! I had to kill the first one, and then my husband killed the second and then when he was spraying (because I made him) he found a third!"
afraid,i was exposed to lice at work,i was exposed to lice at work
afraid,"I haven't watched a horror in so long, but my friend wants to watch one.","I haven't watched a horror in so long, but my friend wants to watch one"
afraid,"This past wednesday, I left my class very late and there weren't many people outside, and a random car pulled up to the curb where I was.","This past wednesday, I left my class very late and there weren't many people outside, and a random car pulled up to the curb where I was."
afraid,I stole some candy from Party City when I was a kid. I was so scared that the cops were going to nab me.,I stole some candy from Party City when I was a kid. I was so afraid that the cops were going to nab me.
afraid,This afternoon our neighbors dog got loose and he is very aggressive. The kids were outside playing in the yard. I didn't know what to do! My heart was racing..,A dog in our neighborhood got loose earlier while the kids were playing in the front yard. He is very aggressive and I could just imagine being at the hospital later.
afraid,I heard a loud bang in the middle of the night.,I heard a loud bang in the middle of last night and it woke me up.
afraid,One time I had to fly to Oklahoma for work. I don't like flying anyway but to top things off we had trouble landing.,"The last time I had to fly for work, we had issues when it came time to land."
afraid,"going near hights really makes me scared, i cannot go on reoller coasters because im afraid of heights",going near hights really makes me scared
afraid,I thought I saw an intruder in my room last week.,I thought I saw an intruder in my room last week. I screamed!
afraid,"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time","I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time"
afraid,Sooo scary! I was in the basement today and I swear to you I saw a ghost.,Sooo scary! I was in the basement today and I swear to you I saw a ghost
afraid,I was driving through flood waters and my car stalled out.,I was driving through flood waters and my car stalled out.
afraid,"Recently a man tried to break into our house. It was late at night, and he was kicking the door. My entire family was scared as we waited for the police to show up.",A man recently tried to break into our house late at night.
afraid,"I have a phobia of water, and my boyfriend made me go out on his boat last weekend.","I have a phobia of water, and my boyfriend made me go out on his boat last weekend."
afraid,I don't think I'm going to do so well this semester.,Im not excited about this semester at all.
afraid,I was in bed and i heard a loud noise in my kitchen. but i was home alone!,i was inbed last night and heard a loud bang in the kitchen
afraid,I did not want to go on the rollercoaster,I really did not want to go on the rollercoaster. It looked so fast and scary
afraid,My parents have not gotten over the loss of my sister. They need to get some help from a trained professional.,You know my parents still have not gotten over the loss of my sister.
afraid,Riding coasters this weekend,I'm not looking forward to tomorrow :/
afraid,"I am not afraid to admit this: I am 32 and afraid of the dark. The other day, my electricity went out due to a storm. It was dark, I couldn't find my phone or a light, so I screamed for my girlfriend to wake up. Am I embarrassed to say that, not at all, lol","I am not afraid to admit this: I am 32 and afraid of the dark. The other day, my electricity went out due to a storm. It was dark, I couldn't find my phone or a light, so I screamed for my girlfriend to wake up. Am I embarrassed to say that, not at all, lol"
afraid,My husband is out of town and my friends talked me into going to a scary movie with them. I have not been able to sleep since then. I cannot wait until my husband gets back.,My husband is out of town and my friends talked me into going to a scary movie with them the other night.
afraid,One time I heard a large knock on my door while I was sleeping,One time I heard a large knock on my door while I was sleeping
afraid,I managed to spook myself in college by watching a little too much horror while living alone.,I managed to spook myself really bad once watching too many horror movies and being in a house alone by the woods.
afraid,I just watched the exorcist for the first time and am home alone. I turned all the lights on in the house and am going to call my friend because I have goosebumps.,I just watched the Exorcist for the first time and now I am going around my house turning on all the lights!
afraid,"Really afraid of flying next week, it's been a while since I've been on a plane!","Really afraid of flying next week, it's been a while since I've been on a plane!"
afraid,"Once I was at a large rave at an abandoned shipping wharf. The cops came and made the people throwing it shut it down. I was out of it, and worried I was going to jail.","During carnival season, there is a big rave at an undisclosed location in the middle of the night."
afraid,I accidentally dropped my phone and the screen started glitching out and the phone didn't want to turn on anymore.,I accidentally dropped my phone at the screen started to glitch out and didn't want to turn on anymore. I was scared because it was a brand new phone. Thankfully after a while of it just sitting there it turned back on normally.
afraid,There's been noise at my door every night at the same time. I check and there isn't anything.,There's been noise at my door every night at the same time. I check and there isn't anything.
afraid,I saw the scariest movie the other day. I was so frightened.,I saw the scariest movie the other day.
afraid,My mom is having weight loss surgery. Im worried the risks are too dangerous.,"My mom is having weight loss surgery next week, I'm nervous."
afraid,A giant wasp tried to attack me on my balcony. Another reason why I don't like to go on my balcony!,A giant wasp tried to attack me on my balcony. Another reason why I don't like to go on my balcony!
afraid,This weekend Im going to go sky diving with my best friend and I hate heights!,Im planning on going sky diving this weekend!
afraid,I just turned in my dissertation. I'm scared it will not pass and all my work toward my masters will be for nothing.,I just turned in my dissertation. I'm scared it will not pass and all my work toward my masters will be for nothing.
afraid,I was once was very nervous and scared when I thought my girlfriend was pregnant. Waiting to find out was what got me so scared. I found out that she wasn't and everything was okay.,I thought my girlfriend was pregnant recently.
afraid,"A couple months ago my 60 inch element LED HDTV randomly got white lines all over it while my fiance was at work. I didn't do anything to it at all, it just glitched up by itself and got worse as the night went on. I don't think it can be fixed and I dont want to be blamed for it because I was the only one home!","A couple months ago my 60 inch element LED HDTV randomly got white lines all over it while my fiance was at work. I didn't do anything to it at all, it just glitched up by itself and got worse as the night went on. I don't think it can be fixed."
afraid,Amusement park this weekend,Man this weekend might be weird
afraid,Halloween is coming and that means there will be haunted houses! I want to go but I don't want to get too scared.,"Halloween is coming soon, that means there will be haunted houses!"
afraid,I almost got into a car accident today. It was so close...,I almost got into a car accident today. It was so close...
afraid,1,I told my frend something personal and she was so judgemental towards me
afraid,Walking through a dark trail,I was walking through a trail to get to my house last night and it was pitch black. I was afraid a bear or something might get me lol
afraid,I wanna sell my phone but i'm scared to meet people from craigslist,i wanna sell my phone so i posted ad on craigslist. i have 3 potential buyers but i'm so scared to meet them . you never know what people intentions are
afraid,im scared of this big test tomorrow,im scared of this big test tomorrow
afraid,I am a bit afraid to call AC on my neighbor as I don't want him to retaliate. But I have too for the dogs sake.,I am a bit afraid to call AC on my neighbor as I don't want him to retaliate.
afraid,I just saw a bobcat outside my house.,I just saw a bobcat outside my house.
afraid,All the lights in my neighborhood has gone out except my home. People are looking at my home weird now.,All the lights in my neighborhood has gone out except my home. People are looking at my home weird now.
afraid,"I have an irrational fear of flying, yet I planned a trip which required me to travel 8 hours in a plane by myself",I have an irrational fear of flying which I faced when I traveled 8 hours on a plane by myself
afraid,I have a nevus that has change shape. I am little bit afraid of it could be. I will see the doctor tomorrow.,I have a nevus that has change shape. I am little bit afraid of what it could be. I will go see the doctor tomorrow.
afraid,I try to always stay inside when it's dark out.,I try not to go outside when it's dark.
afraid,My friend was getting married a few weeks ago but I was forced to work rather than attend his wedding. I'm really worried about if he'll still be my friend after that.,I had a friend who was getting married last month. Unfortunatley my job forced me to work on his wedding night. Now I don't know if he likes me anymore.
afraid,I do not like anything with wings.,I do not like anything with wings.
afraid,When I got home tonight my outdoor window was broken- To my cat room. I do not know who broke it or how. I am in a bad neighborhood so it was very frightening.,When I got home tonight my outdoor window was broken- To my cat room.
afraid,To this day I am still frightened to go near a cemetery. I just get a bad feeling about them,To this day I am still frightened to go near a cemetery.
afraid,My friend's dog started vomiting a lot. He's at the vet right now.,My friend's dog started vomiting a lot. He's at the vet right now.
afraid,My neighbors dog dug a hole under my fence and chased me back into my house!,I was out working in my garden when I noticed my neighbor's dog had dug a hole under my fence and was running right at me barking!
afraid,I awoke to a tapping a tthe window last night,"Last night, I jumped awake with a start. There was a tapping at the window"
afraid,"there was a time that I came home and my lights were on in the house and my door was unlocked and it had me really scared, I had my cell phone ready to dial 911 but noone was in my home and I never did figure it out",Hi there was a time that I was scared out of my mind I came home and my front door was unlocked and the lights were on in the house
afraid,I am so scared. I just heard a really crazy sounding animal coming from my lake out back of my house.,I am so scared. I just heard a really crazy sounding animal coming from my lake out back of my house.
afraid,I am starting a new job next week. I am so nervous.,MY new job starts next week.
afraid,I am scared I won't like my new neighbors. That's how it usualy goes around here,I am scared that I won't like my new neighbors
afraid,"When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared","Hi! One time when driving on fresh snow I almost wiped out into a ditch, that scared me"
afraid,I went through a serious bout of insomnia about two years ago in which I was barely getting 6 hours of sleep a WEEK. It was causing mental fatigue and depression. I was afraid I'd never snap out of it.,I'm so thankful for relatively good sleep now. About two years ago I had a serious bout of insomnia that I thought I'd never escape.
afraid,"One time I moved into this new apartment, it was a converted loft in an old warehouse. On my first night, my soap dispenser in the kitchen malfunctioned and started squirting soap everywhere, the sound spooked me so bad!","One time I moved into a new apartment, it was this big loft in a converted warehouse. I had this automatic soap dispenser that went nuts on me and made this really scary sound, I thought the place was haunted!"
afraid,my sister is going for surgery,am so nervous my sister is going for surgey
afraid,"I'm afraid to move away from my home town, I've lived here for 26 years! I'll miss everyone!","I'm afraid to move away from my home town, I've lived here for 26 years! I'll miss everyone!"
afraid,"One time when I was little and playing hide and go seek, my cousin talked me into remaining hidden even when our parents came looking for us. After a while I realized that we were going to be in trouble, and then we saw a police car pull into the drive way.","One time when I was little and playing hide and go seek, my cousin talked me into remaining hidden even when our parents came looking for us. After a while I realized that we were going to be in trouble, and then we saw a police car pull into the drive way."
afraid,"I am scared of horror movies, I never could tolerate them","I am scared of horror movies, I never could tolerate them"
afraid,"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore","As a sheltered teenager I used to be scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights, sparred state champions in the ring and become fully self-employed there's really nothing that scares me anymore"
afraid,"I went to the circus once, and the clowns were there. I am terrified of clowns.",I am terrified of clowns. I shouldn't of gone to the circus.
afraid,"my girlfriend has been saying some really threatening things lately, and I don't know what she's going to do",my girlfriend has been threatening me recently.....
afraid,I damaged my car yesterday. I am so worried about how much it will cost to repair it.,I damaged my car yesterday. I am so worried about how much it will cost to repair it.
afraid,abilities what they can cause,i am so scared... what if ...
afraid,"i hate going near hights they make me terrified, as soon as i look down and see the bottom i get so scared",i am extremely afraid of going near hiights
afraid,This year we have had a record number of tornadoes in our area. It really freaks my son out when we have to go into the basement while it storms outside.,We have had a record number of tornadoes in my area so far this year. My son really hates going into the basement while it is storming outside.
afraid,I lost the money pouch for the deposit at my job the other day.,I lost the money pouch for the deposit at my job the other day.
afraid,"My father and brother are in a serious conflict with each other right now, as my father has complained about the way my brother raises his son. Obviously it's a really stressful, tenuous situation and I have no idea who's side to take, and I'm worried it will lead to them not wanting to keep in touch anymore.","My father and brother are in a serious conflict with each other right now, as my father has complained about the way my brother raises his son. Obviously it's a really stressful, tenuous situation and I have no idea who's side to take, and I'm worried it will lead to them not wanting to keep in touch anymore."
afraid,"I am very fearful of dying. I know it will come one day, I just hope and pray it doesn't hurt so bad.","I am very fearful of dying. I know it will come one day, I just hope and pray it doesn't hurt so bad."
afraid,I was so scared to go to sleep at night when I was a kid. Always thought monsters were under my bed.,I was so scared to go to sleep at night when I was a kid.
afraid,Getting my roof replaced. It's so expensive.,Getting my roof replaced. It's so expensive
afraid,I keep hearing things in my kitchen. I think the mouse is back.,I think there is a mouse in my kitchen. I keep hearing squeaking noises at night.
afraid,I woke up scared in the night as I heard a noise at the window.,I woke up scared because I heard a noise at the window
afraid,"My husband and I went to see a house a while back, called The Mansion. We went through the door and felt an icy blast like nothing I've experienced before. When I went upstairs I became terrified and ran down and out the door!","K and I went to see a house a while ago. I don't know what happened there, but when I went upstairs I became more and more nervous and eventually ran back downstairs and out the door. Scary or what."
afraid,It was really dark and rainy one time when we were driving. We also crashed and it scared the hell outta me.,One time me and some friends were out driving and we almost crashed since it was so dark and rainy.
afraid,I was walking my dog and a stray dog ran up to us and started barking. Next thing I know he was trying to fight with my dog.,I was walking my dog and a stray dog ran up to us and started barking. Next thing I know he was trying to fight with my dog.
afraid,"The moment I decided to drop out of University, I had no idea what to do. Thinking about calling my parents and telling them was the most fear enducing madness I'd ever had to endure. Everything felt cloudy and shaky.",Hello there. How are you feeling today?
angry,someone cut me off in traffic today,someone cut me off in traffic today
angry,I am so mad I have to work on Sunday.,I am so mad I have to work Sunday.
angry,"I am mad that my sister always asks me to babsit, but never does it fofr me",My sister always asks me to babysit
angry,i was angry when i saw someone put a dent in my car,i was angry when i saw someone put a dent in my car
angry,I am kind of mad about tomorrow. My team meeting has been pushed up on short notice,I am mad about tomorrow. My team meeting has been pushed up on short notice
angry,"I went to the town hall to renew driving license. The agent gave wrong information. Because of him, I wasted three months.","I went to the town hall to renew driving license. The agent gave wrong information. Because of him, I wasted three months."
angry,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious,I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident
angry,I really get mad when my taxes are raised.,I really get mad when my taxes are raised.
angry,i am pissed that someone put a dent in my car door,i am pissed that someone put a dent in my car
angry,"The other day while driving. someone cut me off, when I honked they flicked me off.","Soo the other day I was driving, got cut off, and when I honked at the other driver to let him know he almost hit my car, he flicked me off. I'm still bitter about it."
angry,I took my daughter shopping for school clothes and she didn't like anything in any store. We bought nothing,I took my 13 year old shopping for schoo clothes today.
angry,"On my way to work, a goose stole my toupee. We just hired a new secretary, Christy, and I need my hairpiece in order to impress her. I am so furious with that goose, I could wring its neck.","On my way to work, a goose stole the toupee I needed to impress the new secretary, Christy."
angry,I once lost my job and got mad.,I lost my job last year and got really angry.
angry,Someone keeps stealing my lunch from the fridge at work. They'd better hope that I don't find out who they are!,Someone at work keeps stealing my lunch from the fridge! So infuriating!
angry,Some jerk ran into my car because he crossed a red light. Now I have to have it repaired and get a rental,Some jerk ran into my car because he crossed a red light
angry,i was upset when i saw someone had dented my car door,i was upset when i saw someone had dented my car door
angry,I am so mad. My dog wont stop barking at every little noise.,I am so mad. My dog won't stop barking.
angry,"This morning driving into work, people were refusing to use their blinker. It can become so irratating","This morning driving into work, people were refusing to use their blinker."
angry,People need to stop letting their dogs poop in my yard!,People need to stop letting their dogs poop in my yard! They aren't even respectful enough to clean it up!
angry,"Someone slapped me, I felt so furious","Someone slapped me, I got so mad"
angry,"I just read an article online recently that said medical marijuana was now OK in the UK, it was so frustrating to read it because it had no valid reason being banned, and the way it got legalized was a child (epileptic) being denied it, and then having seizures every day. its mind blowingly frustrating","Hello! I recently read an article about medical marijuana now being allowed in the united kingdom, What do you think about it?"
angry,"I felt furious when my brother got my new car into an accident last month, it was badly damaged",I was really pissed off when my brother ran my new car into a tree last month
angry,I'm adhd when it comes to cleaning so when my family leaves the house a mess I get so furious.,I'm a neat freak and my house has to stay clean and in place always such a pet peeve of mines.
angry,My dog keeps having accidents in the house ever since we got another dog. I keep taking her outside to!,My dog keeps having accidents in the house! I'm getting fustrated.
angry,"Every time I was the Phantom Menace, I get so mad. What was George Lucas thinking?!",I'm so made at George Lucas. How could he think something like the Phantom Menace would be a good idea for a movie!
angry,My manager keep lying about a promotion that he promised.,My manager keep lying about a promotion that he promised.
angry,I am so mad that I got a speeding ticket.,I am so mad that I got a speeding ticket.
